"report_time","all_equity","all_A","float_A","restricted_A","change_from","scrapy_time","code"
"2019-09-30","5.59亿","5.59亿","5.40亿","1910.47万","三季报","2020-02-26 17:53:15","600892"
"2019-09-30","22.50亿","22.50亿","19.48亿","3.02亿","三季报","2020-02-26 17:53:10","600893"
"2019-09-30","8.60亿","8.60亿","8.60亿","-","三季报","2020-02-26 17:53:20","600894"
"2019-09-30","15.49亿","15.49亿","15.49亿","-","三季报","2020-02-26 17:53:22","600895"
"2019-09-30","8.69亿","8.69亿","8.69亿","-","三季报","2020-02-26 17:53:23","600896"
"2019-09-30","2.98亿","2.98亿","2.98亿","-","三季报","2020-02-26 17:53:24","600897"
"2019-09-30","2.53亿","2.53亿","2.53亿","-","三季报","2020-02-26 17:53:26","600898"
"2019-09-30","220.00亿","220.00亿","220.00亿","-","三季报","2020-02-26 17:53:36","600900"
"2019-09-30","29.87亿","29.87亿","18.20亿","11.66亿","三季报","2020-02-26 17:53:30","600901"
"2019-09-30","11.38亿","11.38亿","6.32亿","5.06亿","三季报","2020-02-26 17:53:40","600903"
"2019-09-30","18.48亿","18.48亿","16.97亿","1.51亿","三季报","2020-02-26 17:53:41","600908"
"2019-12-06","36.21亿","36.21亿","36.21亿","-","限售股份上市","2020-02-26 17:53:51","600909"
"2019-09-30","15.56亿","15.56亿","15.56亿","-","三季报","2020-02-26 17:53:45","600917"
"2019-09-30","115.44亿","115.44亿","114.06亿","1.39亿","三季报","2020-02-26 17:54:01","600919"
"2019-09-30","51.30亿","51.30亿","20.82亿","30.49亿","三季报","2020-02-26 17:53:56","600926"
"2019-09-30","44.44亿","44.44亿","4.44亿","40.00亿","三季报","2020-02-26 17:54:03","600928"
"2019-09-30","9.18亿","9.18亿","3.37亿","5.80亿","三季报","2020-02-26 17:54:04","600929"
"2019-09-30","8.58亿","8.58亿","2.67亿","5.90亿","三季报","2020-02-26 17:54:07","600933"
"2019-09-30","16.71亿","16.71亿","16.71亿","-","三季报","2020-02-26 17:54:12","600936"
"2019-09-30","18.14亿","18.14亿","4.10亿","14.05亿","三季报","2020-02-26 17:54:18","600939"
"2019-09-30","69.94亿","59.67亿","56.77亿","2.89亿","三季报","2020-02-26 17:54:16","600958"
"2019-12-12","50.01亿","50.01亿","44.57亿","5.44亿","配售股份上市","2020-02-26 17:54:19","600959"
"2019-09-30","9.51亿","9.51亿","6.80亿","2.70亿","三季报","2020-02-26 17:54:26","600960"
"2019-09-30","5.27亿","5.27亿","5.27亿","-","三季报","2020-02-26 17:54:20","600961"
"2019-09-30","2.62亿","2.62亿","2.54亿","819.00万","三季报","2020-02-26 17:54:32","600962"
"2019-09-30","13.98亿","13.98亿","10.43亿","3.55亿","三季报","2020-02-26 17:54:35","600963"
"2019-09-30","8.19亿","8.19亿","8.19亿","-","三季报","2020-02-26 17:54:37","600965"
"2019-09-30","13.37亿","13.37亿","13.37亿","-","三季报","2020-02-26 17:54:40","600966"
"2019-09-30","16.90亿","16.90亿","9.60亿","7.29亿","三季报","2020-02-26 17:54:41","600967"
"2019-09-30","101.65亿","101.65亿","18.65亿","83.00亿","三季报","2020-02-26 17:54:43","600968"
"2019-09-30","3.70亿","3.70亿","3.70亿","-","三季报","2020-02-26 17:54:46","600969"
"2019-09-30","17.40亿","17.40亿","17.37亿","251.94万","三季报","2020-02-26 17:54:47","600970"
"2019-09-30","12.00亿","12.00亿","12.00亿","-","三季报","2020-02-26 17:54:49","600971"
"2019-09-30","12.22亿","12.22亿","12.22亿","-","三季报","2020-02-26 17:54:51","600973"
"2019-09-30","6.53亿","6.53亿","6.53亿","-","三季报","2020-02-26 17:54:58","600975"
"2019-09-30","1.53亿","1.53亿","1.53亿","10.00万","三季报","2020-02-26 17:54:55","600976"
"2019-09-30","18.67亿","18.67亿","18.67亿","-","三季报","2020-02-26 17:55:04","600977"
"2019-09-30","14.83亿","14.83亿","14.83亿","-","三季报","2020-02-26 17:55:07","600978"
"2019-09-30","9.48亿","9.48亿","9.48亿","-","三季报","2020-02-26 17:55:12","600979"
"2019-09-30","1.55亿","1.55亿","1.52亿","300.00万","三季报","2020-02-26 17:55:14","600980"
"2019-09-30","22.42亿","22.42亿","7.31亿","15.12亿","三季报","2020-02-26 17:55:21","600981"
"2019-09-30","10.87亿","10.87亿","7.47亿","3.40亿","三季报","2020-02-26 17:55:20","600982"
"2019-09-30","7.66亿","7.66亿","5.33亿","2.34亿","三季报","2020-02-26 17:55:24","600983"
"2019-09-30","8.28亿","8.28亿","7.86亿","4167.80万","三季报","2020-02-26 17:55:28","600984"
"2019-09-30","21.72亿","21.72亿","5.53亿","16.20亿","三季报","2020-02-26 17:55:39","600985"
"2019-11-25","13.25亿","13.25亿","12.83亿","4211.64万","注销回购股份","2020-02-26 17:55:33","600986"
"2019-09-30","10.81亿","10.81亿","9.21亿","1.60亿","三季报","2020-02-26 17:55:48","600987"
"2019-09-30","14.26亿","14.26亿","14.26亿","-","三季报","2020-02-26 17:55:44","600988"
"2019-09-30","73.33亿","73.33亿","7.33亿","66.00亿","三季报","2020-02-26 17:55:54","600989"
"2019-09-30","1.59亿","1.59亿","1.37亿","2247.71万","三季报","2020-02-26 17:56:00","600990"
"2019-09-30","2.45亿","2.45亿","2.45亿","-","三季报","2020-02-26 17:56:02","600992"
