"code","first_industry","second_industry","c_industry"
"000700","汽车","汽车零部件","汽车 — 汽车零部件"
"000701","商业贸易","贸易Ⅱ","商业贸易 — 贸易Ⅱ"
"000702","农林牧渔","饲料Ⅱ","农林牧渔 — 饲料Ⅱ"
"000703","化工","化学纤维","化工 — 化学纤维"
"000705","医药生物","医药商业Ⅱ","医药生物 — 医药商业Ⅱ"
"000707","化工","化学原料","化工 — 化学原料"
"000708","钢铁","钢铁","钢铁 — 钢铁"
"000709","钢铁","钢铁","钢铁 — 钢铁"
"000710","医药生物","医疗器械Ⅱ","医药生物 — 医疗器械Ⅱ"
"000711","公用事业","环保工程及服务","公用事业 — 环保工程及服务"
"000712","非银金融","证券","非银金融 — 证券"
"000713","农林牧渔","种植业","农林牧渔 — 种植业"
"000715","商业贸易","一般零售","商业贸易 — 一般零售"
"000716","食品饮料","食品加工","食品饮料 — 食品加工"
"000717","钢铁","钢铁","钢铁 — 钢铁"
"000718","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000719","传媒","文化传媒","传媒 — 文化传媒"
"000720","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000722","公用事业","电力","公用事业 — 电力"
"000723","采掘","煤炭开采Ⅱ","采掘 — 煤炭开采Ⅱ"
"000725","电子","光学光电子","电子 — 光学光电子"
"000726","纺织服装","纺织制造","纺织服装 — 纺织制造"
"000727","电子","光学光电子","电子 — 光学光电子"
"000728","非银金融","证券","非银金融 — 证券"
"000729","食品饮料","饮料制造","食品饮料 — 饮料制造"
"000731","化工","化学制品","化工 — 化学制品"
"000732","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000733","电子","元件Ⅱ","电子 — 元件Ⅱ"
"000735","农林牧渔","畜禽养殖","农林牧渔 — 畜禽养殖"
"000736","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000737","化工","化学原料","化工 — 化学原料"
"000738","国防军工","航空装备","国防军工 — 航空装备"
"000739","医药生物","化学制药","医药生物 — 化学制药"
"000750","非银金融","证券","非银金融 — 证券"
"000751","有色金属","工业金属","有色金属 — 工业金属"
"000752","食品饮料","饮料制造","食品饮料 — 饮料制造"
"000753","汽车","汽车服务","汽车 — 汽车服务"
"000755","交通运输","高速公路Ⅱ","交通运输 — 高速公路Ⅱ"
"000756","医药生物","化学制药","医药生物 — 化学制药"
"000757","汽车","汽车零部件","汽车 — 汽车零部件"
"000759","商业贸易","一般零售","商业贸易 — 一般零售"
"000760","汽车","汽车零部件","汽车 — 汽车零部件"
"000761","钢铁","钢铁","钢铁 — 钢铁"
"000762","有色金属","稀有金属","有色金属 — 稀有金属"
"000766","医药生物","化学制药","医药生物 — 化学制药"
"000767","公用事业","电力","公用事业 — 电力"
"000768","国防军工","航空装备","国防军工 — 航空装备"
"000776","非银金融","证券","非银金融 — 证券"
"000777","机械设备","通用机械","机械设备 — 通用机械"
"000778","钢铁","钢铁","钢铁 — 钢铁"
"000779","建筑装饰","基础建设","建筑装饰 — 基础建设"
"000780","采掘","煤炭开采Ⅱ","采掘 — 煤炭开采Ⅱ"
"000782","化工","化学纤维","化工 — 化学纤维"
"000783","非银金融","证券","非银金融 — 证券"
"000785","商业贸易","一般零售","商业贸易 — 一般零售"
"000786","建筑材料","其他建材","建筑材料 — 其他建材"
"000788","医药生物","化学制药","医药生物 — 化学制药"
"000789","建筑材料","水泥制造","建筑材料 — 水泥制造"
"000790","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"000791","公用事业","电力","公用事业 — 电力"
"000792","化工","化学制品","化工 — 化学制品"
"000793","传媒","文化传媒","传媒 — 文化传媒"
"000795","有色金属","金属非金属新材料","有色金属 — 金属非金属新材料"
"000796","休闲服务","旅游综合Ⅱ","休闲服务 — 旅游综合Ⅱ"
"000797","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000798","农林牧渔","渔业","农林牧渔 — 渔业"
"000799","食品饮料","饮料制造","食品饮料 — 饮料制造"
"000800","汽车","汽车整车","汽车 — 汽车整车"
"000801","家用电器","视听器材","家用电器 — 视听器材"
"000802","传媒","文化传媒","传媒 — 文化传媒"
"000803","电气设备","电源设备","电气设备 — 电源设备"
"000806","电气设备","高低压设备","电气设备 — 高低压设备"
"000807","有色金属","工业金属","有色金属 — 工业金属"
"000809","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000810","家用电器","视听器材","家用电器 — 视听器材"
"000811","机械设备","通用机械","机械设备 — 通用机械"
"000812","轻工制造","包装印刷Ⅱ","轻工制造 — 包装印刷Ⅱ"
"000813","医药生物","化学制药","医药生物 — 化学制药"
"000815","轻工制造","造纸Ⅱ","轻工制造 — 造纸Ⅱ"
"000816","机械设备","通用机械","机械设备 — 通用机械"
"000818","化工","化学原料","化工 — 化学原料"
"000819","化工","石油化工","化工 — 石油化工"
"000820","公用事业","环保工程及服务","公用事业 — 环保工程及服务"
"000821","机械设备","专用设备","机械设备 — 专用设备"
"000822","化工","化学原料","化工 — 化学原料"
"000823","电子","元件Ⅱ","电子 — 元件Ⅱ"
"000825","钢铁","钢铁","钢铁 — 钢铁"
"000826","公用事业","环保工程及服务","公用事业 — 环保工程及服务"
"000828","交通运输","高速公路Ⅱ","交通运输 — 高速公路Ⅱ"
"000829","商业贸易","专业零售","商业贸易 — 专业零售"
"000830","化工","化学制品","化工 — 化学制品"
"000831","有色金属","稀有金属","有色金属 — 稀有金属"
"000833","采掘","其他采掘Ⅱ","采掘 — 其他采掘Ⅱ"
"000835","传媒","互联网传媒","传媒 — 互联网传媒"
"000836","通信","通信设备","通信 — 通信设备"
"000837","机械设备","通用机械","机械设备 — 通用机械"
"000838","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000839","综合","综合Ⅱ","综合 — 综合Ⅱ"
"000848","食品饮料","饮料制造","食品饮料 — 饮料制造"
"000850","纺织服装","纺织制造","纺织服装 — 纺织制造"
"000851","通信","通信设备","通信 — 通信设备"
"000852","机械设备","专用设备","机械设备 — 专用设备"
"000856","机械设备","专用设备","机械设备 — 专用设备"
"000858","食品饮料","饮料制造","食品饮料 — 饮料制造"
"000859","化工","塑料Ⅱ","化工 — 塑料Ⅱ"
"000860","食品饮料","饮料制造","食品饮料 — 饮料制造"
"000861","商业贸易","商业物业经营","商业贸易 — 商业物业经营"
"000862","公用事业","电力","公用事业 — 电力"
"000863","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000868","汽车","汽车整车","汽车 — 汽车整车"
"000869","食品饮料","饮料制造","食品饮料 — 饮料制造"
"000875","公用事业","电力","公用事业 — 电力"
"000876","农林牧渔","饲料Ⅱ","农林牧渔 — 饲料Ⅱ"
"000877","建筑材料","水泥制造","建筑材料 — 水泥制造"
"000878","有色金属","工业金属","有色金属 — 工业金属"
"000880","机械设备","通用机械","机械设备 — 通用机械"
"000881","化工","化学制品","化工 — 化学制品"
"000882","商业贸易","商业物业经营","商业贸易 — 商业物业经营"
"000883","公用事业","电力","公用事业 — 电力"
"000885","交通运输","高速公路Ⅱ","交通运输 — 高速公路Ⅱ"
"000886","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000887","汽车","汽车零部件","汽车 — 汽车零部件"
"000888","休闲服务","景点","休闲服务 — 景点"
"000889","通信","通信运营","通信 — 通信运营"
"000890","非银金融","多元金融","非银金融 — 多元金融"
"000892","传媒","文化传媒","传媒 — 文化传媒"
"000893","化工","化学制品","化工 — 化学制品"
"000895","食品饮料","食品加工","食品饮料 — 食品加工"
"000897","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000898","钢铁","钢铁","钢铁 — 钢铁"
"000899","公用事业","电力","公用事业 — 电力"
"000900","交通运输","高速公路Ⅱ","交通运输 — 高速公路Ⅱ"
"000901","机械设备","仪器仪表","机械设备 — 仪器仪表"
"000902","化工","化学制品","化工 — 化学制品"
"000903","汽车","汽车零部件","汽车 — 汽车零部件"
"000905","交通运输","港口Ⅱ","交通运输 — 港口Ⅱ"
"000906","商业贸易","贸易Ⅱ","商业贸易 — 贸易Ⅱ"
"000908","医药生物","化学制药","医药生物 — 化学制药"
"000909","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000910","轻工制造","家用轻工","轻工制造 — 家用轻工"
"000911","农林牧渔","农产品加工","农林牧渔 — 农产品加工"
"000912","化工","化学制品","化工 — 化学制品"
"000913","汽车","其他交运设备","汽车 — 其他交运设备"
"000915","医药生物","化学制药","医药生物 — 化学制药"
"000917","传媒","文化传媒","传媒 — 文化传媒"
"000918","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000919","医药生物","化学制药","医药生物 — 化学制药"
"000920","公用事业","环保工程及服务","公用事业 — 环保工程及服务"
"000921","家用电器","白色家电","家用电器 — 白色家电"
"000922","电气设备","电机","电气设备 — 电机"
"000923","采掘","其他采掘Ⅱ","采掘 — 其他采掘Ⅱ"
"000925","机械设备","运输设备","机械设备 — 运输设备"
"000926","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000927","汽车","汽车整车","汽车 — 汽车整车"
"000928","建筑装饰","专业工程","建筑装饰 — 专业工程"
"000929","食品饮料","饮料制造","食品饮料 — 饮料制造"
"000930","农林牧渔","农产品加工","农林牧渔 — 农产品加工"
"000931","医药生物","化学制药","医药生物 — 化学制药"
"000932","钢铁","钢铁","钢铁 — 钢铁"
"000933","有色金属","工业金属","有色金属 — 工业金属"
"000935","建筑材料","水泥制造","建筑材料 — 水泥制造"
"000936","化工","化学纤维","化工 — 化学纤维"
"000937","采掘","煤炭开采Ⅱ","采掘 — 煤炭开采Ⅱ"
"000938","计算机","计算机应用","计算机 — 计算机应用"
"000948","计算机","计算机应用","计算机 — 计算机应用"
"000949","化工","化学纤维","化工 — 化学纤维"
"000950","医药生物","医药商业Ⅱ","医药生物 — 医药商业Ⅱ"
"000951","汽车","汽车整车","汽车 — 汽车整车"
"000952","医药生物","化学制药","医药生物 — 化学制药"
"000953","化工","化学制品","化工 — 化学制品"
"000955","纺织服装","纺织制造","纺织服装 — 纺织制造"
"000957","汽车","汽车整车","汽车 — 汽车整车"
"000958","公用事业","电力","公用事业 — 电力"
"000959","钢铁","钢铁","钢铁 — 钢铁"
"000960","有色金属","稀有金属","有色金属 — 稀有金属"
"000961","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000962","有色金属","金属非金属新材料","有色金属 — 金属非金属新材料"
"000963","医药生物","化学制药","医药生物 — 化学制药"
"000965","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000966","公用事业","电力","公用事业 — 电力"
"000967","公用事业","环保工程及服务","公用事业 — 环保工程及服务"
"000968","采掘","石油开采Ⅱ","采掘 — 石油开采Ⅱ"
"000969","有色金属","金属非金属新材料","有色金属 — 金属非金属新材料"
"000970","有色金属","金属非金属新材料","有色金属 — 金属非金属新材料"
"000971","通信","通信设备","通信 — 通信设备"
"000972","农林牧渔","农产品加工","农林牧渔 — 农产品加工"
"000973","化工","塑料Ⅱ","化工 — 塑料Ⅱ"
"000975","有色金属","黄金","有色金属 — 黄金"
"000976","机械设备","运输设备","机械设备 — 运输设备"
"000977","计算机","计算机设备","计算机 — 计算机设备"
"000978","休闲服务","景点","休闲服务 — 景点"
"000980","汽车","汽车整车","汽车 — 汽车整车"
"000981","汽车","汽车零部件","汽车 — 汽车零部件"
"000982","纺织服装","纺织制造","纺织服装 — 纺织制造"
"000983","采掘","煤炭开采Ⅱ","采掘 — 煤炭开采Ⅱ"
"000985","化工","化学制品","化工 — 化学制品"
"000987","非银金融","多元金融","非银金融 — 多元金融"
"000988","电子","其他电子","电子 — 其他电子"
"000989","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"000990","化工","化学制品","化工 — 化学制品"
"000993","公用事业","电力","公用事业 — 电力"
"000996","汽车","汽车服务","汽车 — 汽车服务"
"000997","计算机","计算机设备","计算机 — 计算机设备"
"000998","农林牧渔","种植业","农林牧渔 — 种植业"
"000999","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"001696","汽车","汽车零部件","汽车 — 汽车零部件"
