"c_name","c_type"
"长江经济带","other"
"阅兵","other"
"阿糖胞苷","other"
"阿里巴巴概念","general"
"际华系","other"
"陕西自贸区","other"
"除雪概念","other"
"陶瓷产品","other"
"陶瓷电容","other"
"雄安交通","other"
"雄安地产","other"
"雄安地热","other"
"雄安基建","other"
"雄安新区","general"
"雄安环保","other"
"雄安软件","other"
"雄安金融","other"
"集成电路概念","general"
"雷达","other"
"青岛自贸区","other"
"青蒿素","general"
"静安闸北合并","other"
"非科创次新股","general"
"面粉","other"
"靶材","other"
"音乐产业","other"
"页岩气","general"
"预警机","other"
"风沙治理","other"
"风电","general"
"飞机租赁","other"
"食品安全","general"
"食盐","other"
"饲料","other"
"首都副中心","other"
"驾驶培训","other"
"骨传导","other"
"高岭土概念","other"
"高性能膜","other"
"高校","general"
"高端装备","general"
"高考","other"
"高送转","general"
"高送转预期","general"
"高铁","general"
"魔兽概念","other"
"鸡尾酒","other"
"黄光裕概念","other"
"黄金概念","general"
"黄金水道","other"
"黑洞概念","general"
"黑磷","other"
"黑龙江自贸区","general"
"鼠疫","other"
