"code","c_actual_controller","c_final_controller","c_chairman","c_chairman_secretary","c_legal_representative","c_general_manager"
"600033","福建省人民政府国有资产监督管理委员会","福建省人民政府国有资产监督管理委员会","陈岳峰","何高文","陈岳峰","程辛钱"
"600035","湖北省人民政府国有资产监督管理委员会","湖北省人民政府国有资产监督管理委员会","王南军","宋晓峰","王南军","阮一恒"
"600036","--","--","李建红","刘建军","李建红","田惠宇"
"600037","北京广播电视台","北京市市政府","郭章鹏","韩霁凯","郭章鹏","卢东涛"
"600038","中国航空工业集团有限公司","国务院国有资产监督管理委员会","曲景文","顾韶辉","曲景文","吕杰"
"600039","四川省国有资产监督管理委员会","四川省国有资产监督管理委员会","孙云","周勇","孙云","甘洪"
"600048","中国保利集团有限公司","国务院国有资产监督管理委员会","宋广菊","黄海","宋广菊","刘平"
"600050","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","王晓初","朱可炳","王晓初","李国华"
"600051","李水荣","李水荣","李水荣","董庆慈","李水荣","王维和"
"600052","楼忠福","楼忠福","张霞","包宇芬","张霞","张霞"
"600053","吴刚、黄晓捷、吴强、蔡蕾、覃正宇","吴刚、黄晓捷、吴强、蔡蕾、覃正宇","蔡蕾","易凌杰","古志鹏","古志鹏"
"600054","黄山市黄山风景区管理委员会","黄山市国有资产监督管理委员会","章德辉","丁维","章德辉","陶平"
"600055","吴光明、吴群","吴光明、吴群","谢宇峰","任志林","谢宇峰","燕霞"
"600056","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","高渝文","刘清源","高渝文","侯文玲"
"600057","厦门市人民政府国有资产监督管理委员会","厦门市人民政府国有资产监督管理委员会","张水利","廖杰","张水利","邓启东"
"600058","中国五矿集团有限公司","国务院国有资产监督管理委员会","刘青春","王宏利","刘青春","魏涛"
"600059","绍兴市国有资产监督管理委员会","绍兴市国有资产监督管理委员会","钱肖华","周娟英","钱肖华","柏宏"
"600060","青岛市人民政府国有资产监督管理委员会","青岛市人民政府国有资产监督管理委员会","程开训","夏峰","程开训","于芝涛"
"600061","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","叶柏寿","李樱","叶柏寿","李樱"
"600062","中国华润有限公司","国务院国有资产监督管理委员会","冯毅","范彦喜","冯毅","冯毅"
"600063","安徽省人民政府国有资产监督管理委员会","安徽省人民政府国有资产监督管理委员会","吴福胜","吴尚义","吴福胜","孙先武"
"600064","南京市人民政府国有资产监督管理委员会","南京市人民政府国有资产监督管理委员会","徐益民","谢建晖","徐益民","陆阳俊"
"600066","汤玉祥,牛波,张宝锋,杨张峰,游明设,王建军,谢群鹏","汤玉祥,牛波,张宝锋,杨张峰,游明设,王建军,谢群鹏","汤玉祥","于莉","汤玉祥","汤玉祥"
"600067","薛黎曦、韩国龙","薛黎曦、韩国龙","韩孝煌","肖林寿","韩孝煌","韩孝捷"
"600068","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","陈晓华","彭立权","陈晓华","-"
"600069","孟平","孟平","顾琦","邢之恒","顾琦","冯冲"
"600070","浙江诸暨惠风创业投资有限公司","赵林中等17名自然人","赵林中","卢伯军","赵林中","傅国柱"
"600071","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","刘翔","王炜","刘翔","刘锐"
"600072","中国船舶工业集团有限公司","国务院国有资产监督管理委员会","周辉","黄来和","周辉","周辉"
"600073","上海市国有资产监督管理委员会","上海市国有资产监督管理委员会","吴通红","何茹","王国祥","王国祥"
"600075","新疆生产建设兵团农八师国有资产监督管理委员会","新疆生产建设兵团农八师国有资产监督管理委员会","宋晓玲","李刚","宋晓玲","关刚"
"600076","无锡市人民政府国有资产监督管理委员会","无锡市人民政府国有资产监督管理委员会","郭志先","牟儆","郭志先","李洁"
"600077","俞建午","俞建午","俞建午","郑羲亮","俞建午","俞建午"
"600078","李兴","李兴","江永康","韦莉","江永康","王国忠"
"600079","艾路明","艾路明","王学海","李前伦","王学海","李杰"
"600080","吴一坚","吴一坚","吴一坚","孙明","吴一坚","张梅"
"600081","东风汽车有限公司","国务院国有资产监督管理委员会","陈兴林","天涯","陈兴林","江川"
"600082","天津市人民政府","天津市人民政府","任宇","李刚","任宇","任宇"
"600083","罗静","罗静","汤永庐","鲁智旸","汤永庐","汤永庐"
"600084","-","-","崔明宏","侯伟","崔明宏","苏斌"
"600085","北京市国有资产监督管理委员会","北京市国有资产监督管理委员会","高振坤","贾泽涛","高振坤","邸淑兵"
"600086","赵宁","赵宁","张文风","赵琳迪","赵宁","张文风"
"600088","中央电视台","中央电视台","唐世鼎","贺芳","唐世鼎","王钧"
"600089","张新","张新","张新","焦海华","张新","黄汉杰"
"600090","张美华、李青","张美华、李青","张美华","李冲","张美华","李青"
"600091","明天控股有限公司","肖卫华","李国春","关明","李国春","李国春"
"600093","冷天辉","冷天辉","任子翔","徐蓬","任子翔","冷天晴"
"600094","俞培俤","俞培俤","俞培俤","张燕琦","俞锦","俞锦"
"600095","黄伟","黄伟","史建明","黄海伦","史建明","史建明"
"600096","云南省人民政府国有资产监督管理委员会","云南省人民政府国有资产监督管理委员会","张文学","钟德红","张文学","段文瀚"
"600097","上海市国有资产监督管理委员会","上海市国有资产监督管理委员会","谢峰","汪涛","谢峰","段君恒"
"600098","广州市人民政府国有资产监督管理委员会","广州市人民政府国有资产监督管理委员会","伍竹林","伍竹林","伍竹林","吴旭"
"600099","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","刘群","李鹏鹏","刘群","常康忠"
"600100","教育部","教育部","周立业","张园园","周立业","黄俞"
"600101","国务院国有资产管理委员会","国务院国有资产管理委员会","王更生","雷斌","王更生","向道泉"
"600103","福建省轻纺(控股)有限责任公司","福建省人民政府国有资产监督管理委员会","张小强","潘其星","张小强","林小河"
"600104","上海市国有资产监督管理委员会","上海市国有资产监督管理委员会","陈虹","卫勇","陈虹","王晓秋"
"600105","莫林弟、莫思铭","莫林弟、莫思铭","莫林弟","张国栋","莫林弟","莫思铭"
"600106","-","-","江津","张漫","江津","谷安东"
"600107","解直锟","解直锟","陈京南","褚圆圆","陈京南","陈京南"
"600108","甘肃省人民政府国有资产监督管理委员会","甘肃省人民政府国有资产监督管理委员会","李克华","李柯荫","李克华","李克恕"
"600109","陈金霞","陈金霞","冉云","周洪刚","冉云","金鹏"
"600110","陈立志","陈立志","陈立志","李鹏程","陈立志","许松青"
"600111","内蒙古自治区人民政府","内蒙古自治区人民政府","赵殿清","余英武","赵殿清","李金玲"
"600112","潘琦","潘琦","朱洪彬","戚莉丽","朱洪彬","高健"
"600113","温州市人民政府国有资产监督管理委员会","温州市人民政府国有资产监督管理委员会","杨作军","谢小磊","杨作军","杨澄宇"
"600114","--","--","朱志荣","严丰慕","朱志荣","朱志荣"
"600115","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","刘绍勇","汪健","刘绍勇","李养民"
"600116","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","叶建桥","张华平","叶建桥","何华祥"
