股东股票代码2,股票代码,持有数量,持有价值,占流通股比例,日期
002500,300519,34.20万,464.09万,0.30%,2019-09-30
601688,300554,44.53万,779.35万,0.96%,2019-09-30
000786,300557,150.71万,4144.65万,4.47%,2019-09-30
600958,300575,65.01万,1505.59万,1.05%,2019-09-30
600030,300576,30.75万,709.83万,0.77%,2019-09-30
600030,300577,151.82万,4858.22万,2.36%,2019-09-30
000686,300594,5.27万,232.30万,0.24%,2019-06-30
000563,300599,36.95万,374.67万,0.41%,2019-09-30
000776,300604,104.10万,2184.02万,0.82%,2019-09-30
601688,300605,27.68万,343.53万,0.38%,2019-09-30
600837,300607,100.01万,3847.46万,1.74%,2019-09-30
002500,300610,28.64万,344.59万,0.57%,2019-09-30
601881,300638,46.00万,2934.80万,1.15%,2019-09-30
600287,300644,919.10万,2.66亿,22.30%,2019-09-30
601881,300653,78.11万,6503.44万,1.80%,2019-09-30
000997,300656,735.08万,1.62亿,14.37%,2019-09-30
600570,300663,483.51万,1.35亿,2.62%,2019-09-30
601628,300673,51.74万,1487.58万,1.13%,2019-09-30
600958,300685,191.67万,1.26亿,2.10%,2019-09-30
601555,300695,9.14万,487.50万,0.55%,2019-06-30
002498,300712,530.40万,6974.76万,6.76%,2019-09-30
601688,300717,15.86万,256.07万,0.37%,2019-09-30
002500,300720,20.77万,333.28万,0.50%,2019-09-30
000750,300725,208.35万,1.67亿,2.07%,2019-09-30
600030,300752,9.80万,296.39万,0.34%,2019-09-30
000750,300759,281.62万,1.31亿,4.29%,2019-09-30
601688,300767,22.04万,992.98万,1.10%,2019-09-30
000776,300772,103.03万,1664.96万,1.40%,2019-09-30
601688,300775,20.36万,809.51万,0.41%,2019-09-30
601688,300777,15.35万,524.82万,0.38%,2019-09-30
601688,300780,22.32万,609.90万,0.61%,2019-09-30
601336,300788,88.23万,3857.21万,1.86%,2019-09-30
601198,300790,5.22万,241.69万,0.18%,2019-09-30
000776,300792,5.76万,349.76万,0.29%,2019-09-30
001965,600012,4.04亿,21.95亿,34.68%,2019-09-30
600811,600016,12.80亿,77.06亿,3.61%,2019-09-30
001965,600020,3.47亿,14.18亿,15.43%,2019-09-30
601727,600021,2300.61万,1.82亿,0.98%,2019-09-30
600958,600021,3528.17万,2.78亿,1.50%,2019-09-30
600900,600021,1.27亿,10.00亿,5.40%,2019-09-30
601377,600025,3300.00万,1.40亿,0.37%,2019-09-30
601727,600027,7500.00万,2.69亿,1.07%,2019-09-30
600642,600027,1.43亿,5.11亿,2.04%,2019-09-30
601628,600028,4.82亿,24.19亿,0.50%,2019-09-30
601211,600028,1.15亿,5.76亿,0.12%,2019-09-30
601021,600029,1.41亿,9.32亿,1.73%,2019-09-30
001965,600033,4.87亿,14.95亿,17.75%,2019-09-30
001965,600035,2.63亿,8.83亿,17.23%,2019-09-30
600637,600037,2031.14万,1.89亿,1.46%,2019-09-30
600977,600037,1354.10万,1.26亿,0.97%,2019-09-30
600208,600037,2031.14万,1.89亿,1.46%,2019-09-30
601628,600062,653.05万,7967.18万,0.63%,2019-09-30
000563,600067,3812.24万,1.51亿,2.55%,2019-09-30
000672,600070,414.50万,3651.74万,0.94%,2019-09-30
600604,600097,383.39万,3948.88万,1.69%,2019-09-30
600900,600098,4.90亿,30.29亿,17.98%,2019-09-30
000690,600109,1892.95万,1.65亿,0.63%,2019-09-30
600120,600113,2.03亿,14.24亿,49.29%,2019-09-30
600900,600116,1.60亿,11.42亿,16.08%,2019-09-30
600998,600129,2343.75万,2.68亿,4.31%,2019-09-30
600345,600133,3364.07万,1.76亿,4.85%,2019-09-30
000027,600137,107.95万,1588.99万,1.11%,2019-09-30
601336,600153,4824.56万,4.20亿,1.70%,2019-09-30
600903,600155,3578.69万,4.69亿,3.17%,2019-09-30
600395,600155,7157.38万,9.38亿,6.34%,2019-09-30
000570,600166,1.43亿,2.83亿,2.17%,2019-09-30
000338,600166,8000.00万,1.58亿,1.22%,2019-09-30
300070,600168,3573.11万,2.39亿,5.04%,2019-09-30
600352,600173,5009.65万,2.68亿,7.16%,2019-09-30
600030,600180,1784.66万,1.35亿,1.76%,2019-09-30
601628,600183,1304.37万,3.25亿,0.57%,2019-09-30
600999,600184,1374.28万,1.56亿,2.70%,2019-09-30
601628,600188,2134.15万,2.27亿,0.72%,2019-09-30
601336,600188,3585.15万,3.82亿,1.21%,2019-09-30
600811,600190,3.08亿,9.37亿,17.32%,2019-09-30
600900,600236,3.05亿,13.93亿,3.88%,2019-09-30
601162,600260,606.93万,9103.95万,0.64%,2019-09-30
600030,600273,1604.26万,1.70亿,1.13%,2019-09-30
600030,600277,700.41万,2997.76万,0.26%,2019-09-30
600030,600280,3470.14万,1.09亿,3.05%,2019-09-30
601628,600298,1489.78万,4.03亿,1.81%,2019-09-30
601211,600298,1246.49万,3.37亿,1.51%,2019-09-30
601788,600305,500.00万,6755.00万,0.64%,2019-09-30
