股票代码,公司名称
002237,江西省国有资产监督管理委员会
002238,深圳广播电影电视集团
002240,姚雄杰
002241,姜滨、胡双美
002243,深圳市国有资产监督管理委员会
002246,中国兵器工业集团有限公司
002249,鲁楚平、彭惠
002250,牟金香
002252,黄凯、郑跃文
002256,陈永弟、沈少玲
002258,中国工程物理研究院
002262,孙彭生、陈增良、付卿、杨自亮
002263,诸暨市国有资产监督管理委员会
002265,国务院国有资产监督管理委员会
002267,陕西省国有资产监督管理委员会
002268,中国电子科技集团有限公司
002269,周成建
002270,肖申、肖毅、肖日明
002272,罗丽华、钟利钢
002273,叶仙玉
002275,邹节明家族
002276,张德生
002279,赵福君、董泰湘
002281,国务院国有资产监督管理委员会
002282,陈怀荣、吕桂芹、程辉、任京建、张淑玉
002284,黄来兴、黄伟中、黄伟潮
002286,戴斯觉
002288,梁健锋、梁俊丰
002289,解直锟
002291,张泽民、梁怀宇
002294,叶澄海、廖清清、陈志明、叶宇翔、叶宇筠
002295,黄裕辉、周炳高、施晖、王卫冲、卫波、徐挺、张福斌、袁备
002297,湖南省人民政府国有资产监督管理委员会
002299,傅芬芳、傅光明、傅长玉
002300,刘秀萍、李文亮、李云孝
002302,国务院国有资产监督管理委员会
002304,宿迁市国有资产监督管理委员会
002305,国务院国有资产监督管理委员会
002307,新疆生产建设兵团建工师国资委
002308,何正宇、何小远、何泳渝
002310,北京市朝阳区人民政府国有资产监督管理委员会
002312,补建
002314,中国南山开发(集团)股份有限公司
002320,国务院国有资产监督管理委员会
002321,潢川县财政局
002322,周方洁、余艇、刘笑梅
002326,王莺妹、何人宝
002327,林国芳、陈国红
002330,郑和平
002332,仙居县国有资产监督管理委员会
002336,西安曲江新区管理委员会
002338,中国科学院长春光学精密机械与物理研究所
002339,杨志强、王良、严中华、冯东、王浩、张志伟、耿生民、孙合友
002340,许开华、王敏
002342,杨建忠、杨建国、杨会德、杨子
002343,江西省人民政府
002344,海宁市人民政府
002346,陆仁军、蒋陆峰
002348,杨旭恩、杨广城、杨镇欣、杨镇凯、杨楚丽、杨康华
002349,南通市国有资产监督管理委员会
002353,孙伟杰、王坤晓、刘贞峰
002358,楚金甫
002359,赵晶、赵培林
002362,刘迎建、徐冬青
002363,张乔敏、张海燕
002368,国务院国有资产监督管理委员会
002369,夏传武
002371,北京电子控股有限责任公司
002372,章卡鹏、张三云
002375,丁欣欣、张杏娟
002376,威海市人民政府国有资产监督管理委员会
002379,张士平
002380,刘国耀、胡歙眉、刘建耀、胡梓章
002383,郑州航空港经济综合实验区管理委员会
002384,袁永峰、袁永刚、袁富根
002386,宜宾市政府国有资产监督管理委员会
002388,许伟明、徐琦
002389,国务院国有资产监督管理委员会
002390,朱吉满、白莉惠
002393,天津市国有资产监督管理委员会
002394,"孔祥军,崔恒富,陈警娇,黄长根"
002395,唐炳泉
002396,福建省人民政府国有资产监督管理委员会
002399,李锂、李坦
002400,广东省国有资产监督管理委员会
002401,国务院国有资产监督管理委员会
002403,陈合林、陈文君、陈灵巧、林菊香
002409,沈琦、沈馥、沈锡强、骆颖、窦靖芳
002411,李宗松
002415,国务院国有资产监督管理委员会
002418,陈汉康
002419,国务院国有资产监督管理委员会
002423,国务院国有资产监督管理委员会
002425,陈玉琴、郑合明
002428,包文东、吴开惠
002430,杭州市国有资产监督管理委员会
002431,河南省财政厅
002433,柯树泉
002434,黄河清、吴月华
