股票代码,公司名称,持有数量,占总股比例,质押占其直接持股比例,股份类型,十大股东排名,日期
002363,五矿国际信托有限公司,301.68万,0.73%,无质押,流通A股,6,2019-09-30
002371,北京芯动能投资基金(有限合伙),354.32万,0.72%,-,流通A股,8,2019-12-06
002376,山东省高新技术创业投资有限公司,1321.84万,1.99%,无质押,流通A股,7,2019-09-30
002379,渤海证券股份有限公司,325.48万,0.35%,无质押,流通A股,6,2019-09-30
002386,江海证券有限公司,955.96万,1.22%,-,流通A股,9,2019-09-30
002405,北京芯动能投资基金(有限合伙),3525.26万,1.80%,-,受限流通股,5,2019-09-30
002412,上海复星医药产业发展有限公司,2426.38万,4.82%,无质押,流通A股,2,2019-09-30
002423,广东温氏投资有限公司,1.01亿,4.36%,无质押,受限流通股,3,2019-09-30
002470,雅戈尔投资有限公司,1.11亿,3.37%,无质押,流通A股,3,2019-09-30
002481,共青城银汐投资管理合伙企业(有限合伙),702.49万,0.56%,无质押,流通A股,4,2019-09-30
002483,国海创新资本投资管理有限公司,1607.46万,2.39%,无质押,流通A股,3,2019-09-30
002483,同方金融控股(深圳)有限公司,432.72万,0.64%,无质押,流通A股,6,2019-09-30
002492,深圳市华信创业投资有限公司,528.24万,1.30%,无质押,流通A股,6,2019-09-30
002544,深圳市中科招商创业投资有限公司,2900.00万,5.08%,-,流通A股,2,2019-12-13
002646,青海华实科技投资管理有限公司,2.76亿,61.41%,64.17%,流通A股,1,2019-12-12
002657,国盛证券有限责任公司,670.00万,1.98%,无质押,流通A股,4,2019-09-30
002659,华轩(上海)股权投资基金有限公司,1682.43万,3.37%,无质押,流通A股,2,2019-09-30
002659,国盛证券有限责任公司,997.10万,2.00%,无质押,流通A股,6,2019-09-30
002669,国泰君安创新投资有限公司,279.96万,1.11%,无质押,流通A股,10,2019-09-30
002672,江苏汇鸿创业投资有限公司,2599.50万,2.96%,无质押,流通A股,6,2019-09-30
002673,中铁宝桥集团有限公司,2462.32万,0.70%,-,流通A股,8,2019-09-30
002686,浙江省浙商资产管理有限公司,7946.14万,18.24%,无质押,流通A股,1,2019-09-30
002719,恒泰证券股份有限公司,169.38万,0.97%,无质押,流通A股,6,2019-09-30
002739,泛海股权投资管理有限公司,3186.55万,1.53%,100.00%,受限流通股,7,2019-09-30
002753,深圳市东方富海投资管理股份有限公司,4049.99万,10.79%,38.89%,流通A股,3,2019-11-01
002800,海通开元投资有限公司,100.00万,1.34%,无质押,流通A股,4,2019-09-30
002803,赣州发展融资租赁有限责任公司,2170.28万,9.75%,-,受限流通股,3,2019-12-02
002803,湖北高投产控投资股份有限公司,369.09万,1.66%,-,受限流通股,9,2019-12-02
002820,国盛证券有限责任公司,444.06万,2.17%,-,流通A股,8,2019-09-30
002827,湖南金能科技股份有限公司,667.36万,2.42%,-,流通A股,3,2019-09-30
002827,雅化集团绵阳实业有限公司,499.08万,1.81%,-,流通A股,7,2019-09-30
002840,温氏(深圳)股权投资管理有限公司,896.23万,3.23%,无质押,流通A股,3,2019-09-30
002853,广发信德投资管理有限公司,606.40万,3.90%,无质押,流通A股,4,2019-09-30
002865,海马汽车有限公司,118.33万,0.98%,无质押,流通A股,4,2019-09-30
002887,深圳市国信弘盛股权投资基金(有限合伙),1053.08万,5.06%,-,流通A股,3,2019-10-15
002910,招商证券(香港)有限公司,181.90万,0.95%,无质押,流通H股,10,2019-09-30
002910,海通国际证券有限公司,221.70万,1.16%,无质押,流通H股,8,2019-09-30
002912,深圳市创新投资集团有限公司,2845.44万,26.66%,-,受限流通股,1,2019-11-04
002917,北京航天科工军民融合科技成果转化创业投资基金(有限合伙),639.82万,3.54%,无质押,流通A股,5,2019-09-30
002926,中铁信托有限责任公司,9808.13万,3.74%,无质押,受限流通股,6,2019-09-30
002928,广东温氏投资有限公司,1709.78万,2.85%,无质押,流通A股,6,2019-09-30
002935,成都亚商新兴创业投资有限公司,365.09万,2.28%,无质押,流通A股,4,2019-09-30
002936,中原信托有限公司,2.39亿,4.04%,无质押,受限流通股,5,2019-09-30
002939,中核财务有限责任公司,1.05亿,3.38%,无质押,受限流通股,4,2019-09-30
002947,深圳市创新投资集团有限公司,382.79万,3.15%,无质押,受限流通股,6,2019-09-30
002947,海通开元投资有限公司,347.83万,2.86%,无质押,受限流通股,7,2019-09-30
002948,青岛海仁投资有限责任公司,1.34亿,2.97%,无质押,受限流通股,8,2019-09-30
002949,西藏赢悦投资管理有限公司,715.00万,3.65%,-,受限流通股,6,2019-09-30
002962,长江证券创新投资(湖北)有限公司,252.00万,1.25%,-,受限流通股,10,2019-09-30
300021,上海隆邈实业发展合伙企业(有限合伙),746.23万,0.94%,无质押,流通A股,7,2019-09-30
300080,中国平煤神马能源化工集团有限责任公司,9.78亿,48.31%,50.00%,"受限流通股,流通A股",1,2019-10-25
300097,湖州摩山资产管理有限公司,326.89万,1.13%,100.00%,流通A股,8,2019-09-30
300105,国电科技环保集团股份有限公司,1.19亿,23.25%,-,流通A股,1,2019-09-30
300114,中航航空产业投资有限公司,1207.66万,2.04%,-,流通A股,4,2019-09-30
300140,中交西安筑路机械有限公司,2000.00万,4.68%,无质押,流通A股,4,2019-09-30
300185,山东省高新技术创业投资有限公司,1.85亿,5.67%,无质押,流通A股,2,2019-09-30
300193,五矿证券有限公司,852.10万,1.68%,无质押,流通A股,5,2019-09-30
300274,安徽安元投资基金有限公司,1435.12万,0.98%,无质押,流通A股,9,2019-09-30
300281,四川四凯计算机软件有限公司,316.00万,0.75%,-,流通A股,10,2019-09-30
300281,海南海药投资有限公司,1759.66万,4.20%,-,流通A股,5,2019-09-30
300332,湖北省国有资本运营有限公司,4327.87万,4.92%,39.58%,"受限流通股,流通A股",2,2019-09-30
300334,盛达矿业股份有限公司,173.64万,0.57%,无质押,流通A股,9,2019-09-30
300362,光大资本投资有限公司,2217.63万,5.07%,无质押,流通A股,4,2019-09-30
300388,三峡资本控股有限责任公司,4290.90万,6.40%,无质押,"受限流通股,流通A股",4,2019-09-30
300388,中广核财务有限责任公司,596.84万,0.89%,无质押,流通A股,8,2019-09-30
300425,广东宝新资产管理有限公司,1620.25万,2.40%,无质押,流通A股,4,2019-09-30
300435,民生加银基金管理有限公司,843.72万,2.23%,无质押,受限流通股,6,2019-12-10
300452,上海复星医药产业发展有限公司,1749.89万,12.57%,-,流通A股,2,2019-09-30
300481,北京芯动能投资基金(有限合伙),597.31万,2.32%,无质押,流通A股,2,2019-09-30
300489,深圳市创新投资集团有限公司,60.07万,0.66%,无质押,流通A股,10,2019-09-30
300579,上海市数字证书认证中心有限公司,192.34万,1.07%,无质押,流通A股,6,2019-09-30
300582,浙江华睿泰信创业投资有限公司,1300.00万,6.57%,无质押,流通A股,2,2019-09-30
300582,浙江华睿海越光电产业创业投资有限公司,308.00万,1.56%,无质押,流通A股,6,2019-09-30
300592,深圳市创新投资集团有限公司,922.09万,7.53%,无质押,流通A股,3,2019-11-07
300593,深圳市创新投资集团有限公司,560.00万,3.39%,无质押,受限流通股,6,2019-09-30
300611,长江成长资本投资有限公司,1129.42万,6.31%,无质押,流通A股,2,2019-09-30
300616,深圳市达晨财信创业投资管理有限公司,2187.00万,11.01%,无质押,受限流通股,2,2019-09-30
