股票代码,公司名称,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
600611,大众(香港)国际有限公司,4587.17万,1.94%,流通B股,3,2019-09-30
600640,同方投资有限公司,1265.19万,2.15%,流通A股,5,2019-09-30
600695,东方证券(香港)有限公司,2328.49万,3.27%,流通B股,4,2019-09-30
600714,青海省投资集团有限公司,1.22亿,42.50%,流通A股,1,2019-09-30
600733,合肥国轩高科动力能源有限公司,6073.21万,3.60%,流通A股,7,2019-09-30
600742,长春一汽富晟集团有限公司,2618.81万,5.16%,流通A股,3,2019-09-30
600744,中国大唐集团财务有限公司,390.79万,0.47%,流通A股,7,2019-09-30
600764,鹏起万里产融(嘉兴)投资合伙企业(有限合伙),3197.30万,9.73%,流通A股,2,2019-09-30
600774,中国五环工程有限公司,152.18万,0.67%,流通A股,7,2019-09-30
600810,中国平煤神马能源化工集团有限责任公司,2.83亿,49.28%,流通A股,1,2019-09-30
600824,上海工艺美术有限公司,660.00万,0.63%,流通A股,2,2019-09-30
600827,上海友谊复星(控股)有限公司,9892.12万,5.54%,流通A股,2,2019-09-30
600829,海南海药投资有限公司,2542.83万,4.39%,流通A股,2,2019-09-30
600829,江海证券有限公司,640.00万,1.10%,流通A股,3,2019-09-30
600843,国盛证券有限责任公司,461.70万,0.84%,流通A股,8,2019-09-30
600855,中国汽车工业投资开发有限公司,267.59万,0.78%,流通A股,9,2019-09-30
600858,深圳茂业百货有限公司,2242.60万,4.33%,流通A股,4,2019-09-30
600879,国机资本控股有限公司,3342.18万,1.38%,流通A股,6,2019-09-30
600885,联发集团有限公司,9417.46万,12.64%,流通A股,3,2019-09-30
600919,江苏省国际信托有限责任公司,9.28亿,8.14%,流通A股,1,2019-09-30
600926,中国太平洋人寿保险股份有限公司,2.35亿,11.30%,流通A股,1,2019-09-30
600959,中信国安通信有限公司,4.90亿,12.62%,流通A股,2,2019-09-30
600963,上海方大投资管理有限责任公司,546.10万,0.52%,流通A股,5,2019-09-30
600973,中航新兴产业投资有限公司,5400.00万,4.42%,流通A股,4,2019-09-30
600979,长电资本控股有限责任公司,3905.75万,4.12%,流通A股,6,2019-09-30
600985,国元股权投资有限公司,1650.90万,2.99%,流通A股,5,2019-09-30
600985,银河创新资本管理有限公司,1100.60万,1.99%,流通A股,9,2019-09-30
600990,中国电子科技集团公司第三十八研究所,5445.20万,39.83%,流通A股,1,2019-09-30
600993,华一发展有限公司,375.49万,0.87%,流通A股,10,2019-09-30
600997,上海宝钢国际经济贸易有限公司,466.00万,0.38%,流通A股,7,2019-09-30
601001,上海宝钢国际经济贸易有限公司,360.00万,0.22%,流通A股,10,2019-09-30
601005,中钢设备有限公司,2.52亿,2.83%,流通A股,6,2019-09-30
601005,重庆银行股份有限公司,2.26亿,2.53%,流通A股,7,2019-09-30
601111,国泰航空有限公司,26.34亿,18.80%,流通H股,2,2019-09-30
601158,重庆德润环境有限公司,24.02亿,50.04%,流通A股,1,2019-09-30
601169,三峡资本控股有限责任公司,4.52亿,2.48%,流通A股,7,2019-09-30
601188,穗甬控股有限公司,1480.00万,1.12%,流通A股,4,2019-09-30
601225,三峡资本控股有限责任公司,2.86亿,2.86%,流通A股,3,2019-09-30
601375,中国平煤神马能源化工集团有限责任公司,7504.62万,2.50%,流通A股,4,2019-09-30
601577,北京荣丰房地产开发有限公司,4922.41万,4.95%,流通A股,5,2019-09-30
601666,中国平煤神马能源化工集团有限责任公司,12.81亿,54.27%,流通A股,1,2019-09-30
601699,上海宝钢国际经济贸易有限公司,1523.64万,0.51%,流通A股,8,2019-09-30
601717,河南资产管理有限公司,3481.49万,2.02%,流通A股,4,2019-09-30
601727,上海诚鼎新扬子投资合伙企业(有限合伙),2773.93万,0.21%,流通A股,9,2019-09-30
601798,中国能源工程集团有限公司,1.45亿,41.00%,流通A股,1,2019-09-30
601798,中国工程与农业机械进出口有限公司,532.80万,1.50%,流通A股,4,2019-09-30
601801,安徽安元投资基金有限公司,1861.25万,0.94%,流通A股,5,2019-09-30
601818,上海中远海运企业发展有限公司,7.24亿,1.55%,流通A股,9,2019-09-30
601838,上海东昌投资发展有限公司,1.20亿,6.43%,流通A股,3,2019-09-30
601838,肇东市伊利乳业有限责任公司,3250.00万,1.74%,流通A股,9,2019-09-30
601881,上海农村商业银行股份有限公司,3100.00万,0.63%,流通A股,4,2019-09-30
601908,上海汽车集团股权投资有限公司,4568.54万,2.29%,流通A股,4,2019-09-30
601918,中远海运集团财务有限责任公司,2423.00万,0.94%,流通A股,5,2019-09-30
601990,江苏凤凰置业有限公司,2.07亿,10.06%,流通A股,3,2019-09-30
601991,航天科工财务有限责任公司,5490.13万,0.41%,流通A股,8,2019-09-30
603009,深圳市创新投资集团有限公司,270.81万,0.83%,流通A股,8,2019-09-30
603037,黎明化工研究设计院有限责任公司,1024.74万,16.43%,流通A股,1,2019-09-30
603037,深圳市华益成路投资合伙企业(有限合伙),343.52万,5.51%,流通A股,2,2019-09-30
603117,南昌红土创新资本创业投资有限公司,397.37万,0.63%,流通A股,6,2019-09-30
603168,上海景兴实业投资有限公司,2823.55万,9.50%,流通A股,3,2019-09-30
603189,安徽华茂产业投资有限公司,240.00万,1.09%,流通A股,6,2019-09-30
603197,海通开元投资有限公司,700.00万,7.11%,流通A股,1,2019-09-30
603259,上海金药投资管理有限公司,3391.26万,2.88%,流通A股,9,2019-09-30
603278,深圳市创新投资集团有限公司,1690.91万,14.11%,流通A股,1,2019-09-30
603278,南昌红土创新资本创业投资有限公司,297.67万,2.48%,流通A股,7,2019-09-30
603289,海通开元投资有限公司,1334.00万,9.83%,流通A股,2,2019-09-30
603315,上海中兵国泰君安投资中心(有限合伙),401.71万,1.83%,流通A股,5,2019-09-30
603329,海通开元投资有限公司,300.00万,4.64%,流通A股,4,2019-09-30
603359,海通开元投资有限公司,560.00万,3.66%,流通A股,4,2019-09-30
