pid,股票代码,职务,薪酬,直接持股数,高管类型
17311,000038,独立董事,6.96万,-,董事会
52207,000038,监事会主席,-,-,监事会
50093,000038,监事,-,-,监事会
44503,000038,董事,-,-,董事会
15314,000038,职工监事,-,-,监事会
41811,000038,独立董事,6.96万,-,董事会
17340,000038,董事会秘书,-,-,监事会
42626,000039,"董事会秘书,副总裁",329.9万,-,监事会
51908,000039,独立非执行董事,-,-,董事会
27686,000039,"副董事长,非执行董事",-,-,董事会
29794,000039,独立非执行董事,-,-,董事会
12597,000039,副总裁,266.3万,-,监事会
7791,000039,监事,-,-,监事会
19828,000039,非执行董事,-,-,董事会
25761,000039,副总裁,237.2万,-,监事会
10103,000039,监事长,-,-,监事会
40090,000039,独立非执行董事,24万,-,董事会
37143,000039,独立非执行董事,24万,-,董事会
353,000039,职工监事,47.5万,-,监事会
14527,000039,"董事长,非执行董事",-,-,董事会
42402,000039,非执行董事,-,-,董事会
46,000039,常务副总裁,386.7万,-,监事会
54270,000039,执行董事,822.4万,59.36万,董事会
48323,000039,副总裁,285.1万,54万,监事会
44922,000042,"副总经理,财务总监",269.3万,-,监事会
50497,000042,董事,4.37万,15.9万,董事会
49580,000042,副总经理,239.5万,-,监事会
16814,000042,"董事长,董事",478.3万,79.49万,董事会
6495,000042,独立董事,12.5万,-,董事会
29044,000042,独立董事,12.5万,-,董事会
1898,000042,总经理,440.1万,-,监事会
37457,000042,副总裁,132.4万,-,监事会
52771,000042,董事会秘书,75.64万,15.9万,监事会
35736,000042,董事,2.92万,-,董事会
32318,000042,董事,4.37万,16.95万,董事会
392,000042,"副董事长,董事",352.3万,55.64万,董事会
12343,000042,董事,4.37万,15.9万,董事会
17977,000042,监事,4.37万,-,监事会
23072,000042,独立董事,12.5万,-,董事会
9445,000042,职工监事,100.9万,10.46万,监事会
29441,000042,监事会主席,158.1万,-,监事会
46943,000043,董事,-,-,董事会
4598,000043,监事,-,-,监事会
469,000043,监事会主席,-,-,监事会
25751,000043,董事,-,-,董事会
13864,000043,独立董事,9万,-,董事会
44591,000043,财务总监,111.4万,1万,监事会
7410,000043,职工监事,-,-,监事会
16047,000043,"董事会秘书,副总经理",111.4万,1.1万,监事会
44802,000043,独立董事,-,-,董事会
36875,000043,监事,-,-,监事会
51640,000043,副总经理,-,-,监事会
53691,000043,董事,177万,11万,董事会
23837,000043,董事,-,-,董事会
29491,000043,董事,-,-,董事会
43254,000043,职工监事,-,-,监事会
39186,000043,"董事长,董事",-,-,董事会
2240,000043,独立董事,-,-,董事会
18957,000043,常务副总经理,-,-,监事会
12201,000043,董事,-,-,董事会
49678,000043,独立董事,-,-,董事会
52581,000045,副总经理,65.7万,12.2万,监事会
46105,000045,独立董事,10万,-,董事会
13998,000045,财务总监,-,-,监事会
42018,000045,副总经理,72.14万,12.5万,监事会
31795,000045,董事会秘书,45.08万,10万,监事会
40325,000045,董事,46.78万,12.2万,董事会
22180,000045,职工监事,39.37万,5300,监事会
19129,000045,"董事长,董事",101.4万,13.7万,董事会
16248,000045,董事,76.5万,22.8万,董事会
3586,000045,监事,-,-,监事会
52394,000045,董事,-,-,董事会
36625,000045,监事会主席,65.79万,-,监事会
32039,000045,独立董事,10万,-,董事会
37618,000045,独立董事,10万,-,董事会
31011,000045,董事,-,-,董事会
22220,000046,独立董事,18万,-,董事会
5128,000046,监事,283万,-,监事会
47204,000046,董事,602.4万,-,董事会
15972,000046,财务总监,420万,40万,监事会
23690,000046,"董事长,董事",-,1832万,董事会
42003,000046,职工监事,256.3万,12万,监事会
41489,000046,独立董事,35.52万,-,董事会
27266,000046,职工监事,347.2万,-,监事会
3985,000046,"副董事长,董事",480.6万,50万,董事会
2386,000046,董事,1048万,51万,董事会
35756,000046,董事,458.3万,27.6万,董事会
37782,000046,独立董事,18万,-,董事会
36282,000046,独立董事,18万,-,董事会
8311,000046,"副董事长,董事",-,50万,董事会
36855,000046,人力资源总监,185.7万,12.96万,监事会
52996,000046,监事,549.1万,-,监事会
47708,000046,副总裁,240万,-,监事会
14613,000046,风险控制总监,-,-,监事会
17468,000046,独立董事,18万,-,董事会
34246,000046,监事,360.6万,8万,监事会
16896,000046,"董事会秘书,副总裁",307.2万,6万,监事会
29349,000046,职工监事,343.7万,18万,监事会
9244,000046,监事,-,20万,监事会
44683,000046,独立董事,18万,-,董事会
23768,000046,监事会主席,597.7万,350万,监事会
37586,000048,监事会主席,27.76万,-,监事会
1641,000048,董事,251.1万,-,董事会
52837,000048,副总裁,111.3万,-,监事会
19180,000048,职工监事,31.69万,-,监事会
48098,000048,独立董事,3.23万,-,董事会
50830,000048,监事,-,-,监事会
18243,000048,董事,2.28万,-,董事会
5788,000048,独立董事,10万,-,董事会
19878,000048,"董事长,董事",4万,-,董事会
45179,000048,独立董事,5万,-,董事会
5467,000048,监事,103.2万,-,监事会
31458,000048,"董事会秘书,副总裁",227.6万,-,监事会
24016,000048,董事,195.9万,-,董事会
9984,000048,副总裁,72万,-,监事会
5564,000048,独立董事,2.85万,-,董事会
22540,000048,董事,2.28万,-,董事会
38613,000048,职工监事,23.12万,-,监事会
32974,000048,董事,2.28万,-,董事会
49389,000048,董事,153.7万,-,董事会
18798,000048,执行副总裁,293.6万,8.163万,监事会
34160,000049,董事,92.97万,-,董事会
16246,000049,董事,-,-,董事会
23780,000049,"董事长,董事",114万,-,董事会
16321,000049,监事,-,-,监事会
17570,000049,独立董事,-,-,董事会
47851,000049,监事会主席,-,-,监事会
22093,000049,独立董事,-,-,董事会
3274,000049,职工监事,420万,-,监事会
47620,000049,董事,-,-,董事会
8770,000049,独立董事,-,-,董事会
27193,000049,董事会秘书,51.16万,-,监事会
14655,000049,董事,-,-,董事会
994,000049,董事,-,-,董事会
33589,000049,财务总监,142.8万,-,监事会
14453,000050,董事,-,-,董事会
22907,000050,职工监事,35.92万,4800,监事会
24159,000050,董事,222万,1.07万,董事会
