股票代码,主营业务
000803,光伏变电设备的研发、制造和销售
000803,高压电极锅炉集成
000803,丝绸商贸和商业地产经营等
000809,投资、土地一级开发等。
000807,重熔用铝锭及铝加工制品、炭素及炭素制品、氧化铝的加工及销售。
000811,"从事商业冷冻设备、工业冷冻设备及应用系统集成、工程成套服务,广泛服务于食品冷链、物流、石化、医药、能源等行业。"
000812,烟标及卷烟过滤材料生产销售、教育产业
000810,数字电视智能终端及软件系统与平台的研究、开发、生产、销售、运营与服务。
000813,药品的研发、生产和销售
000816,柴油机、小型通用汽油机及终端产品的制造及销售
000816,煤炭的开采与销售
000815,中、高档文化用纸及特种纸的生产与销售
000819,石油化工产品的开发、生产、销售
000820,工程总承包、工程咨询设计和其他业务
000821,纸箱、纸盒包装机械及印刷机械的制造、销售
000821,工业自动化和机器人业务以及汽车零部件制造、销售。
000823,印制线路板、液晶显示器、超薄及特种覆铜板、超声电子仪器的研制、生产和销售。
000822,纯碱、烧碱、硝酸钠、亚硝酸钠、工业溴及溴素、工业盐、硝基苯、苯胺、二氯甲烷、三氯甲烷、盐酸、硫酸、氯化钙、硫酸钾、氯化镁、氢氧化镁等苦卤系列产品的生产、销售；卤水开采、销售；盐膜经销等。
000825,不锈钢和碳钢钢材生产销售
000826,城市固体废弃物及工业固体废弃物处置及危险废弃物处置回收利用相关配套设施设计、建设、投资、运营管理、技术咨询相关服务以及特定地区水务投资运营业务。
000828,高速公路运营管理、开展融资租赁业务、商业保险
000829,手机分销、移动互联网、移动转售和白酒业务
000831,从事稀土氧化物生产、稀土技术研发及咨询服务等。
000830,化肥及化工产品生产与销售
000830,承揽工业设备制作安装
000833,"机制糖(白砂糖、赤砂糖)的生产和销售,纸浆和机制纸(文化纸、生活用纸)的生产和销售,硫铁矿的开采、加工、销售及硫酸、铁矿粉和磷肥的生产和销售"
000835,生产销售焦炭系列产品及动漫游戏
000836,匹配包层单模光纤、通信用低水峰单模光纤；通信用光缆。
000838,房地产开发和环保
000837,精密数控机床、塑料机械、精密齿轮件、液压件、液压系统、电梯曳引机及特种齿轮箱。
000839,"信息网络基础设施业务中的有线电视网、卫星通信网的投资建设,信息服务业中的增值电信服务、网络系统集成、应用软件开发,高科技产业中的新材料开发和生产、盐湖资源开发,以及房地产开发和物业管理等业务。"
000848,生产和销售“露露”牌杏仁露
000850,棉、毛、麻、丝和人造纤维的纯、混纺纱线及其织物、针织品、服装、印染加工；纺织设备及配件、家用纺织品销售；投资管理
000851,企业信息化业务、信息服务业务、IT销售业务
000858,“五粮液”及其系列白酒的生产和销售
000856,机械设备与备件、土建安装、维修工程和电气设备与备件
000859,主要生产经营双向拉伸聚丙烯薄膜和双向拉伸聚酯薄膜等包装膜材料和电子信息用膜材料、木塑新材料、工程塑料以及蓝宝石晶片等
000860,白酒酿造与销售;种猪繁育、生猪养殖、屠宰及肉制品加工;市场管理与服务;房地产开发。
000861,商业运营、文化娱乐及互联网金融
000862,新能源发电、新能源装备制造
000863,房地产开发与经营
000869,葡萄酒、白兰地、香槟及保健酒的生产和销售
000868,客车整车、底盘与配件生产及销售
000875,从事火电、风电、太阳能发电、供热、工业供气的生产和销售。
000877,硅酸盐熟料、各类硅酸盐水泥、商品混凝土的生产和销售。
000876,饲料、原料添加剂、饲料加工机械、农副产品、食品的生产、加工、销售。
000880,内燃机及配件制造、销售；发电机及发电机组的制造、销售；工程机械制造、销售；机械零部件加工及设备修理；经营规定的进出口业务（需资质证书的凭资质证书开展经营活动）
000881,远洋运输、工程承包、房地产、国际劳务合作、进出口贸易和远洋渔业等业务；线缆用改性高分子材料、改性工程塑料、电子加速器的生产和销售以及辐照加工业务。
000882,购物中心运营管理业务、影院运营管理业务和商业保理
000885,高速公路开发运营和基础设施投资
000883,能源投资、开发与管理
000886,高等级公路的建设及养护管理
000886,同时在房地产开发销售、旅游服务业的综合开发等方面进行多元化经营
000887,密封件、特种橡胶制品（汽车、摩托车、电器、工程机械、矿山、铁道、石化、航空航天等行业基础元件）的研发、生产、销售与服务
000888,峨眉山游山门票服务、索道运营和酒店经营以及相应的旅游商务营业活动等。
000890,生产、销售多种用途、不同规格的钢丝、钢丝绳产品；提供以应收账款融资为主要服务内容的商业保理服务、以及与商业保理有关的咨询业务
000890,专业提供应收账款及信用风险综合管理的新金融服务
000889,信息传输和通信网络维护
000892,影视剧的制作发行、艺人经纪、游戏及影视周边衍生业务
000893,钾盐开采、钾肥生产及销售、谷物贸易、国际船务、基础物流及投资。
000895,畜禽屠宰
000895,肉类食品的加工销售和食品包装
000897,房地产开发经营及贸易
000899,火力、水力发电
000898,黑色金属冶炼及钢压延加工。
000900,高速公路收费业务
000901,从事汽车电子、环保监测产品、航天产品、光机电测控及电网配套设备的研发、生产和销售等。
000903,"柴油机的研发、生产与销售,电子、通讯、计算机软硬件等智能化产品的生产、销售及技术服务、咨询等。"
000902,磷复肥、新型肥料的研发、生产和销售
000902,以及现代农业产业解决方案提供业务
000905,以港口为依托的综合物流业务以及件散杂货、内贸集装箱的装卸、堆存、仓储、助轮船靠离泊以及贸易、建材等业务
000906,供应链集成服务
000909,电子信息类产品的研制与销售、房地产开发、商品贸易等三类业务。
000908,医药产品的研发、制造与销售。
000910,人造板和木地板的生产和销售
000911,从事机制糖的生产与销售业务
000912,生产、销售各类化肥、化工产品
000915,环保、医药产业
000913,摩托车及配件的生产和销售
000918,房地产开发与经营
000917,从事影视节目制作、引进、发行、交换、译制
000917,广告代理、策划、制作
000917,信息传播等服务项目
000917,经过多年的发展
000917,公司主营业务形成了以有线电视网络与创投业务为核心
000917,广告代理、影视节目内容制作、旅游、酒店与房地产业务为辅的产业布局。
000920,复合反渗透膜业务
000919,中西药原料和制剂的生产和销售
000919,以及医药新产品研制、技术服务和开发等
000921,集生产冰箱、家用空调、中央空调、洗衣机、厨房电器、环境电器、商用冷链等产品于一体的综合电器产品制造
000922,防爆电机、起重及冶金电机、局部扇风机、屏蔽电机的生产与销售
000925,“轨道交通+节能环保”的双轨模式
000923,"铜矿、蛭石矿的开发、运营,以及自产矿产品的加工、销售和服务"
000926,房地产业和金属制品业。
000927,"生产及销售“夏利、威志、骏派”系列经济型轿车,CA4GA、CA3GA系列发动机,5T063、5T065和AMT系列变速器及相关产品的开发设计。"
000929,啤酒、麦芽、饮料的生产、加工和销售业务
000928,工程技术服务和设备集成及备品备件供应业务
000930,燃料乙醇、柠檬酸、赖氨酸、乳酸、环氧乙烷、食用油、饲料等业务
000931,生物医药、个人护理用品、房地产及建筑和其他业务
000932,钢坯、无缝钢管、线材、螺纹钢、热轧超薄带钢卷、冷轧板卷、镀锌板、中小型材、热轧中板等黑色和有色金属产品的生产和经营;兼营外商投资企业获准开展的相关附属产品。
000933,煤炭生产、销售、洗选加工；电解铝、铝合金、铝型材及延伸产品的生产、加工、销售等业务
000935,水泥生产和销售
000937,煤炭、化工、电力、建材四大板块
000936,公司主营业务分为涤纶化纤的研发、生产和销售
000936,石化物流仓储
000936,投资并购和资产管理。
