股票代码,申万一级行业
002413,国防军工
002414,电子
002415,电子
002416,商业贸易
002417,计算机
002418,家用电器
002419,商业贸易
002420,家用电器
002421,计算机
002422,医药生物
002423,非银金融
002424,医药生物
002425,传媒
002426,机械设备
002427,化工
002428,有色金属
002429,家用电器
002430,机械设备
002431,建筑装饰
002432,医药生物
002433,医药生物
002434,汽车
002435,医药生物
002436,电子
002437,医药生物
002438,机械设备
002439,计算机
002440,化工
002441,电气设备
002442,化工
002443,钢铁
002444,机械设备
002445,传媒
002446,通信
002447,传媒
002448,汽车
002449,电子
002451,电气设备
002452,电气设备
002453,计算机
002454,汽车
002455,化工
002456,电子
002457,建筑材料
002458,农林牧渔
002459,机械设备
002460,有色金属
002461,食品饮料
002462,医药生物
002463,电子
002464,传媒
002465,国防军工
002466,有色金属
002467,通信
002468,交通运输
002469,建筑装饰
002470,化工
002471,电气设备
002472,汽车
002473,家用电器
002474,计算机
002475,电子
002476,化工
002478,钢铁
002479,公用事业
002480,机械设备
002481,食品饮料
002482,建筑装饰
002483,机械设备
002484,电子
002486,纺织服装
002487,机械设备
002488,汽车
002489,轻工制造
002490,机械设备
002491,通信
002492,交通运输
002493,化工
002494,纺织服装
002495,食品饮料
002496,化工
002497,化工
002498,电气设备
002499,电气设备
002500,非银金融
002501,有色金属
002502,传媒
002503,纺织服装
002504,建筑装饰
002505,商业贸易
002506,电气设备
002507,食品饮料
002508,家用电器
002509,建筑装饰
002510,汽车
002511,轻工制造
002512,计算机
002513,化工
002514,机械设备
002515,食品饮料
002516,纺织服装
002517,传媒
002518,电气设备
002519,家用电器
002520,机械设备
002521,轻工制造
002522,轻工制造
002523,机械设备
002524,医药生物
002526,机械设备
002527,电气设备
002528,计算机
002529,机械设备
002530,计算机
002531,电气设备
002532,机械设备
002533,电气设备
002534,电气设备
002535,机械设备
002536,汽车
002537,计算机
002538,化工
002539,化工
002540,有色金属
002541,建筑装饰
002542,建筑装饰
002543,家用电器
002544,通信
002545,化工
002546,电气设备
002547,电子
002548,农林牧渔
002549,化工
002550,医药生物
002551,医药生物
002552,机械设备
002553,汽车
002554,采掘
002555,传媒
002556,化工
002557,食品饮料
002558,传媒
002559,机械设备
002560,电气设备
002561,商业贸易
002562,医药生物
002563,纺织服装
002564,建筑装饰
002565,轻工制造
002566,医药生物
002567,农林牧渔
002568,食品饮料
002569,纺织服装
002570,食品饮料
002571,轻工制造
002572,轻工制造
002573,公用事业
002574,轻工制造
002575,轻工制造
002576,电气设备
002577,计算机
002578,有色金属
002579,电子
002580,电气设备
002581,医药生物
002582,食品饮料
002583,通信
002584,化工
002585,轻工制造
002586,建筑装饰
002587,电子
002588,化工
002589,医药生物
002590,汽车
002591,传媒
002592,汽车
002593,建筑装饰
002594,汽车
002595,机械设备
002596,建筑材料
002597,化工
002598,机械设备
002599,轻工制造
002600,电子
002601,化工
002602,传媒
002603,医药生物
002605,轻工制造
002606,电气设备
002607,传媒
002608,公用事业
002609,计算机
002610,电气设备
002611,汽车
002612,纺织服装
002613,机械设备
002614,家用电器
002615,轻工制造
002616,公用事业
002617,电气设备
002618,电子
002619,传媒
002620,建筑装饰
002621,传媒
002622,传媒
002623,建筑材料
002624,传媒
002625,汽车
002626,医药生物
002627,交通运输
002628,建筑装饰
002629,采掘
002630,电气设备
002631,轻工制造
002632,化工
002633,机械设备
002634,纺织服装
002635,电子
002636,电子
002637,化工
002638,传媒
002639,机械设备
002640,商业贸易
002641,建筑材料
002642,计算机
002643,化工
002644,医药生物
002645,机械设备
002646,食品饮料
002647,非银金融
002648,化工
002649,计算机
002650,食品饮料
002651,机械设备
002652,建筑材料
002653,医药生物
002654,传媒
002655,电子
002656,纺织服装
002657,计算机
002658,公用事业
002659,传媒
002660,电子
002661,食品饮料
002662,汽车
002663,建筑装饰
002664,汽车
002665,电气设备
002666,化工
002667,机械设备
002668,家用电器
002669,化工
002670,非银金融
002671,建筑材料
002672,公用事业
002673,非银金融
002674,纺织服装
002675,医药生物
002676,家用电器
002677,家用电器
002678,轻工制造
002679,农林牧渔
002681,电子
002682,交通运输
002683,化工
002684,电子
002685,机械设备
002686,机械设备
002687,纺织服装
002688,农林牧渔
002689,机械设备
002690,机械设备
002691,机械设备
002692,电气设备
002693,医药生物
002694,建筑材料
002695,食品饮料
002696,农林牧渔
002697,商业贸易
002698,机械设备
002699,传媒
002700,公用事业
002701,轻工制造
002702,食品饮料
002703,汽车
002705,家用电器
002706,电气设备
002707,休闲服务
002708,汽车
002709,化工
002711,交通运输
002712,传媒
002713,建筑装饰
002714,农林牧渔
002715,汽车
002716,有色金属
002717,公用事业
002718,建筑材料
002719,食品饮料
002721,轻工制造
002722,机械设备
002723,家用电器
002725,汽车
002726,食品饮料
002727,医药生物
002728,医药生物
002729,电子
002730,机械设备
002731,轻工制造
002732,食品饮料
002733,电气设备
002734,化工
002735,轻工制造
002736,非银金融
002737,医药生物
002738,采掘
002739,传媒
002740,轻工制造
002741,化工
002742,建筑材料
002743,建筑装饰
002745,电子
002746,农林牧渔
002747,机械设备
002748,化工
002749,化工
002750,医药生物
002751,轻工制造
002752,轻工制造
002753,化工
002755,医药生物
002756,钢铁
002757,机械设备
002758,医药生物
002759,家用电器
002760,机械设备
002761,纺织服装
002762,纺织服装
002763,纺织服装
002765,汽车
002766,计算机
002767,电气设备
002768,化工
002769,交通运输
002770,食品饮料
002771,计算机
002772,农林牧渔
002773,医药生物
002774,机械设备
002775,建筑装饰
002776,纺织服装
002777,计算机
002778,化工
002779,机械设备
002780,纺织服装
002781,建筑装饰
002782,电子
002783,化工
002785,建筑材料
002786,机械设备
002787,轻工制造
002788,医药生物
002789,建筑装饰
002790,轻工制造
002791,建筑材料
002792,通信
002793,机械设备
002795,机械设备
002796,机械设备
002797,非银金融
002798,建筑材料
002800,交通运输
002801,电气设备
002802,化工
002803,传媒
002805,化工
002806,有色金属
002807,银行
002808,电子
002809,化工
002810,化工
002811,建筑装饰
002812,化工
002813,汽车
002815,电子
002816,机械设备
002817,医药生物
002818,商业贸易
002819,机械设备
002820,食品饮料
002821,医药生物
002822,建筑装饰
002823,电气设备
002824,有色金属
002825,化工
002826,医药生物
002827,化工
002828,采掘
002829,国防军工
002830,建筑装饰
002831,轻工制造
002832,纺织服装
002833,机械设备
002835,计算机
002836,轻工制造
002837,机械设备
002838,化工
002839,银行
002840,食品饮料
002841,电子
002842,有色金属
002843,机械设备
002845,电子
002846,轻工制造
002847,食品饮料
002848,家用电器
002849,机械设备
002850,电子
002851,电气设备
002852,农林牧渔
002853,轻工制造
002855,电子
002856,建筑装饰
002857,机械设备
002858,传媒
002859,电子
002860,家用电器
002861,电子
002862,轻工制造
002863,汽车
002864,医药生物
002865,汽车
002866,电子
002867,轻工制造
002868,农林牧渔
002869,电子
002870,机械设备
002871,机械设备
002872,医药生物
002873,医药生物
002875,纺织服装
002876,电子
002877,机械设备
002878,传媒
002879,电气设备
002880,医药生物
002881,电子
002882,电气设备
002883,建筑装饰
002884,机械设备
002885,电子
002886,化工
002887,公用事业
002888,电子
002889,交通运输
002890,机械设备
002891,农林牧渔
002892,电气设备
002893,公用事业
002895,化工
002896,机械设备
002897,通信
002898,医药生物
002899,轻工制造
002900,医药生物
002901,医药生物
002902,通信
002903,机械设备
002905,传媒
002906,汽车
002907,医药生物
002908,通信
002909,化工
002910,食品饮料
002911,公用事业
002912,计算机
002913,电子
002915,化工
002916,电子
002917,化工
002918,建筑材料
002919,化工
002920,计算机
002921,汽车
002922,电子
002923,医药生物
002925,电子
002926,非银金融
002927,电气设备
002928,交通运输
002929,通信
002930,交通运输
002931,机械设备
002932,医药生物
002933,国防军工
002935,国防军工
002936,银行
002937,电子
002938,电子
002939,非银金融
002940,医药生物
002941,建筑装饰
002942,化工
002943,机械设备
002945,非银金融
002946,食品饮料
002947,电子
002948,银行
002949,建筑装饰
002950,医药生物
002951,轻工制造
002952,电子
002953,电气设备
002955,计算机
002956,食品饮料
002957,机械设备
002958,银行
002959,家用电器
002960,机械设备
002961,非银金融
002962,电子
002963,建筑装饰
002965,机械设备
002966,银行
002967,综合
002968,房地产
002969,轻工制造
003816,公用事业
300001,电气设备
300002,计算机
300003,医药生物
300004,机械设备
300005,纺织服装
300006,医药生物
300007,机械设备
300008,国防军工
300009,医药生物
300010,计算机
300011,电气设备
300012,综合
300013,交通运输
300014,电子
300015,医药生物
300016,医药生物
300017,通信
300018,电气设备
300019,化工
300020,计算机
300021,农林牧渔
300022,商业贸易
300023,非银金融
300024,机械设备
300025,通信
300026,医药生物
300027,传媒
300029,电气设备
300030,医药生物
300031,传媒
300032,电子
300033,计算机
300034,国防军工
300035,电子
300036,计算机
300037,化工
300038,传媒
300039,医药生物
300040,电气设备
300041,化工
300042,计算机
300043,传媒
300044,计算机
300045,计算机
300046,电子
300047,计算机
300048,电气设备
300049,医药生物
300050,通信
300051,传媒
300052,传媒
300053,电子
300054,化工
300055,公用事业
300056,公用事业
300057,轻工制造
300058,传媒
300059,非银金融
300061,传媒
300062,电气设备
300064,机械设备
300065,国防军工
300066,机械设备
300067,化工
300068,电气设备
300069,电气设备
300070,公用事业
300071,传媒
300072,公用事业
300073,化工
300074,计算机
300075,计算机
300076,电子
300077,电子
300078,电子
300079,计算机
300080,电气设备
300081,传媒
300082,化工
300083,电子
300084,机械设备
300085,计算机
300086,医药生物
300087,农林牧渔
300088,电子
300089,传媒
300090,公用事业
300091,机械设备
300092,机械设备
300093,建筑材料
300094,农林牧渔
300095,机械设备
300096,计算机
300098,通信
300099,机械设备
300100,汽车
300101,国防军工
300102,电子
300103,机械设备
300105,电气设备
300106,食品饮料
300107,化工
300108,医药生物
300109,医药生物
300110,医药生物
300111,电气设备
300112,机械设备
300113,传媒
300114,机械设备
300115,电子
300116,电气设备
300117,建筑材料
300118,电气设备
300119,农林牧渔
300120,电子
300121,化工
300122,医药生物
300123,国防军工
300124,电气设备
300125,公用事业
300126,机械设备
300127,有色金属
300128,电子
300129,电气设备
300130,计算机
300131,电子
300132,化工
300133,传媒
300134,通信
300135,化工
300136,电子
300137,公用事业
300138,农林牧渔
300139,电子
300140,公用事业
300141,电气设备
300142,医药生物
300143,医药生物
300144,休闲服务
300145,机械设备
300146,食品饮料
300147,医药生物
300148,传媒
300149,医药生物
300150,计算机
300151,机械设备
300152,公用事业
300153,电气设备
300154,机械设备
300155,计算机
300156,公用事业
300157,采掘
300158,医药生物
300159,国防军工
300160,家用电器
300161,机械设备
300162,电子
300163,化工
300164,采掘
300165,机械设备
300166,计算机
300167,计算机
