股票代码,申万二级行业
002745,光学光电子
002746,畜禽养殖
002747,通用机械
002748,化学制品
002749,化学制品
002750,中药Ⅱ
002751,其他轻工制造
002752,包装印刷Ⅱ
002753,橡胶
002755,化学制药
002756,钢铁
002757,专用设备
002758,医药商业Ⅱ
002759,白色家电
002760,通用机械
002761,服装家纺
002762,服装家纺
002763,服装家纺
002765,汽车零部件
002766,计算机应用
002767,电气自动化设备
002768,塑料Ⅱ
002769,物流Ⅱ
002770,食品加工
002771,计算机应用
002772,种植业
002773,化学制药
002774,专用设备
002775,园林工程
002776,服装家纺
002777,计算机应用
002778,石油化工
002779,专用设备
002780,服装家纺
002781,装修装饰
002782,电子制造
002783,化学制品
002785,其他建材
002786,专用设备
002787,包装印刷Ⅱ
002788,医药商业Ⅱ
002789,装修装饰
002790,家用轻工
002791,其他建材
002792,通信设备
002793,通用机械
002795,通用机械
002796,专用设备
002797,证券
002798,其他建材
002800,物流Ⅱ
002801,电机
002802,化学制品
002803,营销传播
002805,化学原料
002806,工业金属
002807,银行
002808,光学光电子
002809,化学制品
002810,化学制品
002811,装修装饰
002812,化学制品
002813,汽车零部件
002815,元件Ⅱ
002816,专用设备
002817,中药Ⅱ
002818,商业物业经营
002819,仪器仪表
002820,食品加工
002821,化学制药
002822,装修装饰
002823,电机
002824,工业金属
002825,塑料Ⅱ
002826,中药Ⅱ
002827,化学制品
002828,采掘服务
002829,航天装备
002830,装修装饰
002831,包装印刷Ⅱ
002832,服装家纺
002833,专用设备
002835,计算机设备
002836,包装印刷Ⅱ
002837,专用设备
002838,塑料Ⅱ
002839,银行
002840,食品加工
002841,光学光电子
002842,稀有金属
002843,金属制品
002845,光学光电子
002846,包装印刷Ⅱ
002847,食品加工
002848,视听器材
002849,仪器仪表
002850,电子制造
002851,电源设备
002852,农产品加工
002853,家用轻工
002855,电子制造
002856,装修装饰
002857,仪器仪表
002858,文化传媒
002859,电子制造
002860,白色家电
002861,电子制造
002862,家用轻工
002863,汽车零部件
002864,中药Ⅱ
002865,汽车零部件
002866,电子制造
002867,家用轻工
002868,动物保健
002869,其他电子
002870,仪器仪表
002871,通用机械
002872,医药商业Ⅱ
002873,中药Ⅱ
002875,服装家纺
002876,光学光电子
002877,通用机械
002878,营销传播
002879,高低压设备
002880,生物制品Ⅱ
002881,电子制造
002882,高低压设备
002883,基础建设
002884,通用机械
002885,电子制造
002886,塑料Ⅱ
002887,环保工程及服务
002888,电子制造
002889,物流Ⅱ
002890,专用设备
002891,饲料Ⅱ
002892,电机
002893,电力
002895,化学制品
002896,通用机械
002897,通信设备
002898,化学制药
002899,家用轻工
002900,化学制药
002901,医疗器械Ⅱ
002902,通信设备
002903,通用机械
002905,文化传媒
002906,汽车零部件
002907,中药Ⅱ
002908,通信设备
002909,化学制品
002910,食品加工
002911,燃气Ⅱ
002912,计算机设备
002913,元件Ⅱ
002915,化学制品
002916,元件Ⅱ
002917,化学制品
002918,其他建材
002919,化学制品
002920,计算机应用
002921,汽车零部件
002922,电子制造
002923,化学制药
002925,电子制造
002926,证券
002927,高低压设备
002928,航空运输Ⅱ
002929,通信设备
002930,物流Ⅱ
002931,专用设备
002932,医疗器械Ⅱ
002933,航空装备
002935,航天装备
002936,银行
002937,电子制造
002938,元件Ⅱ
002939,证券
002940,化学制药
002941,基础建设
002942,化学制品
002943,通用机械
002945,证券
002946,食品加工
002947,电子制造
002948,银行
002949,房屋建设
002950,医疗器械Ⅱ
002951,包装印刷Ⅱ
002952,光学光电子
002953,高低压设备
002955,计算机设备
002956,食品加工
002957,专用设备
002958,银行
002959,白色家电
002960,专用设备
002961,多元金融
002962,光学光电子
002963,装修装饰
002965,金属制品
002966,银行
002967,综合Ⅱ
002968,房地产开发Ⅱ
002969,包装印刷Ⅱ
003816,电力
300001,高低压设备
300002,计算机应用
300003,医疗器械Ⅱ
300004,专用设备
300005,服装家纺
300006,化学制药
300007,仪器仪表
300008,船舶制造
300009,生物制品Ⅱ
300010,计算机应用
300011,电源设备
300012,综合Ⅱ
300013,物流Ⅱ
300014,其他电子
300015,医疗服务Ⅱ
300016,化学制药
300017,通信设备
300018,电气自动化设备
300019,化学制品
300020,计算机应用
300021,农业综合Ⅱ
300022,专业零售
300023,多元金融
300024,通用机械
300025,通信设备
300026,中药Ⅱ
300027,文化传媒
300029,电源设备
300030,医疗器械Ⅱ
300031,互联网传媒
300032,光学光电子
300033,计算机应用
300034,航天装备
300035,其他电子
300036,计算机应用
300037,化学制品
300038,营销传播
300039,中药Ⅱ
300040,电气自动化设备
300041,化学制品
300042,计算机设备
300043,互联网传媒
300044,计算机应用
300045,计算机设备
300046,半导体
300047,计算机应用
300048,电气自动化设备
300049,医疗器械Ⅱ
300050,通信设备
300051,互联网传媒
300052,互联网传媒
300053,半导体
300054,化学制品
300055,环保工程及服务
300056,环保工程及服务
300057,包装印刷Ⅱ
300058,营销传播
300059,证券
300061,营销传播
300062,高低压设备
300064,通用机械
300065,船舶制造
300066,仪器仪表
300067,化学制品
300068,电源设备
300069,高低压设备
300070,环保工程及服务
300071,营销传播
300072,环保工程及服务
300073,化学制品
300074,计算机应用
300075,计算机应用
300076,光学光电子
300077,半导体
300078,其他电子
300079,计算机应用
300080,电源设备
300081,文化传媒
300082,化学制品
300083,电子制造
300084,专用设备
300085,计算机应用
300086,化学制药
300087,种植业
300088,光学光电子
300089,文化传媒
300090,环保工程及服务
300091,通用机械
