股票代码,经营范围
000066,零售各类软件及电子出版物；投资兴办实业（具体项目另行申报）；自营进出口业务（具体按深贸营登证字第49号文执行）；房地产开发经营；房屋
000066,设备等固定资产租赁
000066,物业管理及相关服务业务；国内商业
000066,物资供销业（不含专营
000066,专控
000066,专卖商品）。（依法须经批准的项目，经相关部门批准后方可开展经营活动；法律
000066,法规规定无需许可（审批）的，市场主体自主选择经营。）
000069,旅游及其关联产业的投资和管理；房地产开发；自有物业租赁；酒店管理；文化活动的组织策划；会展策划；旅游项目策划；旅游信息咨询；旅游工艺品的销售；投资兴办实业（具体项目另行申报）；国内商业（不含专营
000069,专控
000069,专卖商品）；经营进出口业务（法律
000069,行政法规
000069,国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。
000070,光纤
000070,光缆
000070,光纤预制棒
000070,电子元器件
000070,通讯设备
000070,光器件
000070,配线产品
000070,宽带多媒体设备
000070,光网络单元
000070,高低压配电产品
000070,开关电源
000070,智能监控产品
000070,智能终端产品
000070,数据中心系列产品
000070,综合布线产品
000070,电力电缆
000070,电力通信光缆
000070,金具及附件的生产（生产项目另办执照）；通信设备系统工程的设计
000070,安装
000070,维护
000070,调试，咨询，计算机软硬技术及软件工程的开发
000070,销售
000070,服务；计算机网络系统集成
000070,通讯信息服务（不含限制项目）；国内贸易（不含专营
000070,专控
000070,专卖商品）；在网上从事商贸活动（不含限制项目）；电子产品技术开发与销售；经营进出口业务（法律
000070,行政法规
000070,国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；自动化设备应用技术的开发；自有物业租赁，物业管理。机动车辆停放服务。
000078,生产经营生物化学原料
000078,制品
000078,试剂及其它相关制品(以上不含专营
000078,专控和专卖商品)；自营进出口业务（按深贸管登证字第70号文规定执行）；开发生物化学产品和其他相关制品；投资兴办实业（具体项目另行申报）；房屋租赁；信息咨询；医药专业领域内技术转让，技术咨询，技术服务。（以上项目不涉及外商投资准入特别管理措施）
000088,码头的开发与经营；货物装卸与运输；港口配套交通设施建设与经营；港口配套仓储及工业设施建设与经营；港口配套生活服务设施的建设与经营；集装箱修理；转口贸易；经营进出口业务。
000089,投资兴办实业（具体项目另行申报）；国内商业
000089,物资供销业（不含专营
000089,专控
000089,专卖商品）；航空客货地面运输及过港保障与服务；机场航空及辅助设备投资业务；进出口业务（凭批准证书经营）。
000096,兴办实业
000096,国内商业
000096,物资供销业
000096,投资电力企业
000096,销售成品油和成品油及液体化工仓储业务(兼营预包装食品零售
000096,日用品零售；汽车洗车服务)；房地产开发
000096,物业管理。
000099,通用航空包机飞行
000099,石油服务
000099,直升机引航
000099,医疗救护；空中游览
000099,直升机机外载荷飞行
000099,人工降水
000099,航空探矿
000099,航空摄影
000099,海洋监测
000099,渔业飞行
000099,城市消防
000099,空中巡查
000099,航空器代管；私用驾驶员执照培训
000099,航空护林
000099,空中拍照
000099,空中广告
000099,科学实验
000099,气象探测；进出口业务；直升机机体
000099,动力装置
000099,机载设备
000099,特种作业设备的维修
000099,改装及技术服务；石油化工产品的仓储；非经营性危险货物运输(3)类【危险品名称：汽油(闪电
000100,研究
000100,开发
000100,生产
000100,销售：电子产品及通讯设备
000100,新型光电
000100,液晶显示器件
000100,五金交电
000100,VCD
000100,DVD视盘机
000100,建筑材料
000100,普通机械，电子计算机技术服务，货运仓储(不含危险化学品)，影视器材维修，废旧物资回收，货物及技术进出口，创业投资业务及创业投资咨询，受托管理其他创业投资机构的创业投资资本，为创业企业提供创业管理服务，参与发起创业投资机构与投资管理顾问机构，不动产租赁
000100,提供信息系统服务
000100,提供会务服务
000100,提供电子产品技术开发服务
000100,软件产品的开发及销售
000100,专利转让
000100,代理报关服务
000100,提供顾问服务
000100,支付结算。
000150,"医院后勤管理服务,医疗行业计算机软硬件的技术开发,养老产业项目投资"
000150,策划
000150,服务;绿色有机食品产业项目投资
000150,开发;节能环保产业项目投资
000150,"开发,高新技术产业项目投资"
000150,"开发;医疗器械经营。对外投资;项目投资;资本经营管理和咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动。)"
000151,对外派遣实施境外工程所需的劳务人员；进出口业务；承担我国对外经济技术援助项目和对外提供一般物资援助项目，承包各类境外工程和境内外资工程；提供经济
000151,贸易
000151,技术
000151,信息的咨询和交流服务；成套设备和技术系统集成及相关技术服务；仓储；房屋租赁；向境外派遣各类劳务人员（不含港澳台地区）；销售食品；销售医疗器械
000151,销售化妆品
000151,洗漱用品及日用品，人力资源服务。
000153,许可经营项目：大容量注射剂生产及自产药品销售；小容量注射剂
000153,硬胶囊剂
000153,颗粒剂
000153,散剂
000153,原料药
000153,粉针剂
000153,冻干粉针剂
000153,滴眼剂
000153,膜剂
000153,片剂生产
000153,销售（限全资子公司经营）；药物研究及产品开发，包装材料
000153,饲料添加剂生产
000153,销售，食用农产品收购。
000155,道路运输经营;危险化学品经营(经营项目以《危险化学品经营许可证》为准);专用铁路兼办铁路货物运输(发送名类
000155,"到达品类按铁道部公布的《铁路专用线专用铁路名称表》为准)。(以上项目及期限以许可证为准)(以下项目不含前置许可项目,后置许可项目凭许可证或审批文件经营)锂离子电池制造;风力发电"
000155,太阳能发电;有色金属矿采选业;无机盐制造;商品批发与零售;进出口业;仓储业;工程机械租赁;货运代理;房地产经营;建筑装修装饰工程;科技推广和应用服务业;环境治理;专业技术服务业;金属制品
000155,"机械和设备修理业;人力资源管理服务;装卸搬运。(依法须经批准的项目,经相关部门批准后方可开展经营活动)"
000156,线电视
000156,数字电视网络
000156,宽带网络运营及产业投资，数字通信产业投资，互联网及电视传媒信息服务产业投资。
000157,开发
000157,生产
000157,销售工程机械
000157,环卫机械
000157,汽车起重机及其专用底盘
000157,消防车辆及其专用底盘
000157,高空作业机械
000157,其它机械设备
000157,金属与非金属材料
000157,光机电一体化高新技术产品并提供租赁
000157,售后技术服务；销售建筑装饰材料
000157,工程专用车辆及金属材料
000157,化工原料
000157,化工产品（不含危化品和监控品）；经营商品和技术的进出口业务；以自有资产进行房地产业投资（不得从事吸收存款
000157,集资收款
000157,受托贷款
000157,发行票据
000157,发放贷款等国家金融监管及财政信用业务）。二手车销售；废旧机械设备拆解
000157,回收。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
000090,房地产开发行业
000090,工程施工业
000090,物业租赁
000090,物业管理
000090,商业运营及服务。
000158,计算机软件技术开发
000158,技术服务
000158,技术咨询，棉花
000158,办公设备
000158,电子元器件
000158,通信设备
000158,计算机及零配件
000158,计算机软件
000158,仪器仪表
000158,光伏设备的批发零售；通信设备
000158,计算机零配件的租赁，计算机系统集成；自营和代理各类商品及技术的进出口业务；天然纤维和人造纤维的纺织品
000158,针织品
000158,服装加工；家用服饰
000158,纺织品
000158,产业用纺织品的设计
000158,开发
000158,制造（限分支机构经营）
000158,销售；本企业和本企业成员企业生产
000158,科研所需的原辅料
000158,机械设备
000158,仪器仪表
000158,零配件及相关技术的进出口业务（国家限定公司经营或禁止出口的商品除外）；机电设备（特种设备除外）
000158,新风净化器及配件的生产（限分支机构经营）
000158,销售；经营本企业的进料加工；房屋租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
000166,投资管理，实业投资，股权投资，投资咨询，房屋租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
000159,许可经营项目：经营进出口业务（具体事项以外经贸部的批复为准）；燃料油进口经营
000159,焦炭出口；燃料油
000159,重油
000159,氧化剂和有机过氧化物的销售；焦煤
000159,煤化工产品
000159,"煤制品的生产及销售（国家有专项审批规定的产品除外）；煤炭出口业务，边贸成品油出口业务；石脑油（溶剂油）的批发；麻黄素及麻黄素类产品的出口。
一般经营项目：股权投资；机电设备"
000159,化工产品（汽车及国家有专项规定的产品除外）
000159,轻工产品
000159,建筑材料
000159,金属材料
000159,现代办公用品
000159,畜产品
000159,农副产品（粮食收储
000159,批发）
000159,针
000159,棉纺织品的销售；蕃茄种植
000159,加工及蕃茄制品的销售；房地产开发
000159,销售
000159,租赁；棉花销售；经营边境小额贸易业务（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
000301,"资产经营,纺织原料"
000301,针纺织品
000301,聚酯(PET)生产
000301,"销售,仓储,蒸汽供应,生活垃圾焚烧发电工程,技术咨询,实业投资,国内贸易,企业咨询服务,物业管理,机械设备租赁。公路货运(限指定的分支机构经营),热电生产"
000301,"供应(限分支机构经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)"
000333,生产经营家用电器
000333,电机及其零部件；从事家用电器
000333,家电原材料及零配件的进出口
000333,批发及加工业务(不设店铺，不涉及国营贸易管理商品，涉及配额
