机构名称,类型
九泰锐诚灵活配置混合型证券投资基金(LOF),基金
交银施罗德新成长混合型证券投资基金,基金
交银施罗德策略回报灵活配置混合型证券投资基金,基金
交银施罗德精选混合型证券投资基金,基金
信诚沪深300指数分级证券投资基金,基金
光大保德信银发商机主题混合型证券投资基金,基金
兴全多维价值混合型证券投资基金A,基金
兴全安泰平衡养老目标三年持有期混合型基金中基金(FOF),基金
兴全轻资产投资混合型证券投资基金(LOF),基金
农银汇理永安混合型证券投资基金,基金
前海人寿保险股份有限公司,保险公司
前海开源优质成长混合型证券投资基金,基金
华夏平稳增长混合型证券投资基金,基金
华夏沪深300指数增强型证券投资基金A,基金
华夏能源革新股票型证券投资基金,基金
华安MSCI中国A股指数增强型证券投资基金,基金
华安创新证券投资基金,基金
华安安华灵活配置混合型证券投资基金,基金
华安安顺灵活配置混合型证券投资基金,基金
华安文体健康主题灵活配置混合型证券投资基金,基金
华安睿明两年定期开放灵活配置混合型证券投资基金A,基金
华安科技动力混合型证券投资基金,基金
华安策略优选混合型证券投资基金,基金
华安红利精选混合型证券投资基金,基金
华宝国策导向混合型证券投资基金,基金
华宝收益增长混合型证券投资基金,基金
华宝新优选一年定期开放灵活配置混合型证券投资基金,基金
华富星玉衡一年定期开放混合型证券投资基金A,基金
华泰保兴安盈三个月定期开放混合型发起式证券投资基金,基金
华泰柏瑞核心优势混合型证券投资基金,基金
华泰柏瑞现代服务业混合型证券投资基金,基金
华润元大富时中国A50指数型证券投资基金,基金
南方中证全指房地产交易型开放式指数证券投资基金,基金
南方中证全指房地产交易型开放式指数证券投资基金发起式联接基金A,基金
南方中证国有企业改革指数分级证券投资基金,基金
博时颐泽稳健养老目标一年持有期混合型基金中基金(FOF)A类,基金
博道叁佰智航股票型证券投资基金A,基金
博道启航混合型证券投资基金A,基金
博道沪深300指数增强型证券投资基金A,基金
博道远航混合型证券投资基金A,基金
嘉实3年封闭运作战略配售灵活配置混合型证券投资基金(LOF),基金
嘉实价值优势混合型证券投资基金,基金
嘉实企业变革股票型证券投资基金,基金
嘉实低价策略股票型证券投资基金,基金
嘉实多元收益债券型证券投资基金A类,基金
嘉实多利分级债券型证券投资基金,基金
嘉实富时中国A50交易型开放式指数证券投资基金,基金
嘉实富时中国A50交易型开放式指数证券投资基金联接基金A,基金
嘉实新收益灵活配置混合型证券投资基金,基金
嘉实新添丰定期开放混合型证券投资基金,基金
嘉实服务增值行业证券投资基金,基金
嘉实核心优势股票型发起式证券投资基金,基金
嘉实策略增长混合型证券投资基金,基金
嘉实量化阿尔法混合型证券投资基金,基金
嘉实金融精选股票型发起式证券投资基金A,基金
国信证券-工商银行-国信金鹏分级1号集合资产管理计划,一般法人
国投瑞银景气行业证券投资基金,基金
国投瑞银融华债券型证券投资基金,基金
国泰国证房地产行业指数分级证券投资基金,基金
国泰金鹿混合型证券投资基金,基金
国联安德盛优势混合型证券投资基金,基金
国联安德盛红利混合型证券投资基金,基金
国联安智能制造混合型证券投资基金,基金
国联安远见成长混合型证券投资基金,基金
国融融泰灵活配置混合型证券投资基金A,基金
圆信永丰优享生活灵活配置混合型证券投资基金,基金
圆信永丰优加生活股票型证券投资基金,基金
圆信永丰优悦生活混合型证券投资基金,基金
圆信永丰双利优选定期开放灵活配置混合型证券投资基金,基金
圆信永丰双红利灵活配置混合型证券投资基金A,基金
圆信永丰强化收益债券型证券投资基金A,基金
圆信永丰汇利混合型证券投资基金(LOF),基金
