机构名称,类型
哈尔滨天翔伟业投资有限公司,一般法人
甘肃电气装备集团有限公司,一般法人
中国牧工商集团有限公司,一般法人
华夏中证500交易型开放式指数证券投资基金联接基金A,基金
伊犁糖烟酒有限责任公司,一般法人
新疆伊力特实业股份有限公司回购专用证券账户,一般法人
新疆伊力特集团有限公司,一般法人
新疆伊力特集团有限公司-2017年非公开发行可交换公司债券质押专户,一般法人
大唐电信科技产业控股有限公司,一般法人
安徽金种子集团有限公司,一般法人
苏州吴中投资控股有限公司,一般法人
上海淳韬投资管理有限公司,信托公司
内蒙古金宇生物控股有限公司,一般法人
哈尔滨工业投资集团有限公司,一般法人
成都海志股权投资基金管理有限公司,信托公司
平安大华永智1号特定客户资产管理计划,一般法人
杭州德七投资合伙企业(有限合伙),一般法人
福州兴合投资管理有限公司,一般法人
福建福日集团有限公司,一般法人
中国稀有稀土股份有限公司,一般法人
广发中证央企创新驱动交易型开放式指数证券投资基金,基金
有研科技集团有限公司,一般法人
富鼎电子科技(嘉善)有限公司,一般法人
宁波嘉源实业发展有限公司,一般法人
新湖中宝股份有限公司回购专用证券账户,一般法人
浙江恒兴力控股集团有限公司,一般法人
上海紫江(集团)有限公司,一般法人
招商量化精选股票型发起式证券投资基金A,基金
北京新凤凰房地产开发有限公司,一般法人
天津康哲医药科技发展有限公司,一般法人
深圳市康哲药业有限公司,一般法人
西藏华西药业集团有限公司,一般法人
西藏康哲企业管理有限公司,一般法人
西藏源江创业投资合伙企业(有限合伙),一般法人
西藏诺迪康药业股份有限公司回购专用证券账户,一般法人
上海敏迅资产管理有限公司,信托公司
深圳市大生农业集团有限公司,一般法人
深圳市安科安全科技文化股份有限公司,一般法人
江苏亚星汽车集团有限公司,一般法人
潍柴(扬州)亚星汽车有限公司,一般法人
万丰锦源投资有限公司,一般法人
长春经开国资控股集团有限公司,一般法人
新昌县昌欣投资发展有限公司,一般法人
中再生投资控股有限公司,一般法人
中再资源再生开发有限公司,一般法人
中国再生资源开发有限公司,一般法人
唐山市再生资源有限公司,一般法人
四川省农业生产资料集团有限公司,一般法人
广东华清再生资源有限公司,一般法人
湖北省再生资源集团有限公司,一般法人
陕西省耀县水泥厂,一般法人
黑龙江省中再生资源开发有限公司,一般法人
南山集团有限公司,一般法人
山东怡力电业有限公司,一般法人
江苏阳光集团有限公司,一般法人
中信建投基金-华夏银行-西藏信托-西藏信托-顺景27号单一资金信托,一般法人
中铁信托有限责任公司-中铁信托·海南航空定向增发权益投资集合资金信托计划,一般法人
华福基金-兴业银行-长安国际信托-长安信托·海航定增1号单一资金信托,一般法人
大新华航空有限公司,一般法人
招商财富-建设银行-中信信托-中信·航源金融投资集合资金信托计划,一般法人
海口美兰国际机场有限责任公司,一般法人
海航集团有限公司,一般法人
长江租赁有限公司,一般法人
长江财富-浦发银行-上海浦东发展银行股份有限公司海口分行,一般法人
上海博霜雪云投资中心(有限合伙),一般法人
河南太龙药业股份有限公司回购专用证券账户,一般法人
郑州众生实业集团有限公司,一般法人
陕西省国际信托股份有限公司-陕国投·昂鸣锡结构化一期证券投资集合资金信托计划,一般法人
博山万通达建筑安装公司,一般法人
山东世界贸易中心,一般法人
山东省商业集团有限公司,一般法人
淄博市城市资产运营有限公司,一般法人
淄博第五棉纺织厂,一般法人
鲁商集团有限公司,一般法人
上海沅乙投资中心(有限合伙),一般法人
华夏基金-工商银行-陕西省信托-陕国投·盛唐47号定向投资集合资金信托计划,一般法人
天津津诚国有资本投资运营有限公司,一般法人
天津滨海发展投资控股有限公司,一般法人
浙江瀚叶股份有限公司回购专用证券账户,一般法人
贵州赤天化集团有限责任公司,一般法人
青岛产业发展投资有限责任公司,一般法人
青岛出版置业有限公司,一般法人
青岛出版集团有限公司,一般法人
青岛国信发展(集团)有限责任公司,一般法人
向量多维(北京)资本管理有限公司,信托公司
沧州大化集团有限责任公司,一般法人
河南恒通化工集团有限公司,一般法人
九江萍钢钢铁有限公司,一般法人
凌源钢铁集团有限责任公司,一般法人
天津泰悦投资管理有限公司,一般法人
宏运(深圳)资本有限公司,一般法人
上海圆欣投资管理合伙企业(有限合伙),一般法人
上海圆科投资管理合伙企业(有限合伙),一般法人
上海圆翔投资管理合伙企业(有限合伙),一般法人
上海圆越投资管理合伙企业(有限合伙),一般法人
上海圆通蛟龙投资发展(集团)有限公司,一般法人
国泰消费优选股票型证券投资基金,基金
大杨集团有限责任公司,一般法人
平潭沣恒投资管理合伙企业(有限合伙),一般法人
北京诚通资本运营有限公司,一般法人
国新博远投资(北京)有限公司,一般法人
安徽铜峰电子集团有限公司,一般法人
中军天信(北京)投资有限公司,一般法人
云南省城市建设投资集团有限公司,一般法人
云南省小龙潭矿务局,一般法人
四川省高标建设工程有限公司,一般法人
辽宁时代万恒控股集团有限公司,一般法人
辽宁润中供水有限责任公司,一般法人
鞍山达仁投资有限公司,一般法人
上海三盛宏业投资(集团)有限责任公司,一般法人
上海兴铭房地产有限公司,一般法人
上海申炜投资中心(有限合伙),一般法人
上海立溢股权投资中心(有限合伙),一般法人
北京科博德奥投资合伙企业(有限合伙),一般法人
上海圣雍创业投资合伙企业(有限合伙),一般法人
兴业全球基金-招商银行-广东粤财信托-粤财信托·青海华鼎定增3号单一资金信托计划,一般法人
北京千石创富-招商银行-广东粤财信托-粤财信托·青海华鼎定增2号单一资金信托计划,一般法人
深圳市创东方富达投资企业(有限合伙),一般法人
财通基金-粤财信托·青海华鼎定增1号单一资金信托计划,一般法人
青海机电国有控股有限公司,一般法人
青海溢峰科技投资有限公司,一般法人
青海重型机床有限责任公司,一般法人
GLP Capital Investment 4 (HK) Limited,一般法人
万通投资控股股份有限公司,一般法人
北京方顺科技有限公司,一般法人
华宝信托有限责任公司-华宝信托-万通地产员工持股一期集合资金信托,一般法人
嘉华东方控股(集团)有限公司,一般法人
富诚海富通-福瑞通达1号专项资产管理计划,一般法人
陕西延化工程建设有限责任公司,一般法人
陕西延长石油(集团)有限责任公司,一般法人
陕西省高新技术产业投资有限公司,一般法人
广西柳州市产业投资发展集团有限公司,一般法人
柳州市两面针旅游用品厂,一般法人
柳州市建设投资开发有限责任公司,一般法人
柳州市经发投资有限责任公司,一般法人
南京商厦股份有限公司,一般法人
南京斯亚集团有限公司,一般法人
南京旅游集团有限责任公司,一般法人
海通证券股份有限公司约定购回式证券交易专用证券账户,一般法人
贵州汇新科技发展有限公司,一般法人
北京鼎盛新元环保装饰技术开发有限公司,一般法人
新疆冠农果茸股份有限公司回购专用证券账户,一般法人
新疆冠农集团有限责任公司,一般法人
新疆绿原鑫融贸易有限公司,一般法人
新疆铁门关市金汇源资产管理有限公司,一般法人
安徽省投资集团控股有限公司,一般法人
广西中恒实业有限公司,一般法人
广西梧州中恒集团股份有限公司回购专用证券账户,一般法人
深圳市合生堂生物工程有限公司,一般法人
朴海(杭州)投资管理有限公司,信托公司
芜湖恒鑫铜业集团有限公司,一般法人
财通基金-李绍君-财通基金玉泉916号单一资产管理计划,一般法人
霍尔果斯船山文化传媒有限公司,一般法人
华龙证券金智汇31号集合资产管理计划,券商集合理财
新疆广汇实业投资(集团)有限责任公司,一般法人
新疆广汇实业投资(集团)有限责任公司-2018年非公开发行可交换公司债券质押专户,一般法人
新疆广汇实业投资(集团)有限责任公司-新疆广汇实业投资(集团)有限责任公司非公开发行2018年可交换公司债券(第二期)质押专户,一般法人
新疆投资发展(集团)有限责任公司,一般法人
西藏泓杉科技发展有限公司,一般法人
南方东英资产管理有限公司-南方东英龙腾中国债券基金(交易所),一般法人
中国东方资产管理股份有限公司海南省分公司,一般法人
上海卓凡投资有限公司,一般法人
上海新一卓投资有限公司,一般法人
荆州市科达商贸投资有限公司,一般法人
世纪阳光控股集团有限公司,一般法人
浙江桢利信息科技有限公司,一般法人
浙江阳光照明电器集团股份有限公司回购专用证券账户,一般法人
绍兴市滨海新城沥海镇集体资产经营公司,一般法人
内蒙古北方重工业集团有限公司,一般法人
特沃(上海)企业管理咨询有限公司,一般法人
西藏博恩资产管理有限公司,信托公司
北京城建集团有限责任公司,一般法人
浙江海正集团有限公司,一般法人
华电集团南京电力自动化设备有限公司,一般法人
宜宾利嘉商贸有限责任公司,一般法人
湖南湘投金天科技集团有限责任公司(弃用),一般法人
江西公路开发有限责任公司,一般法人
江西省高速公路投资集团有限责任公司,一般法人
中国长城工业集团有限公司,一般法人
北京市爱威电子技术公司,一般法人
北京机电工程总体设计部,一般法人
上海九百(集团)有限公司,一般法人
上海开开集团有限公司,一般法人
上海静安国有资产经营有限公司,一般法人
嘉兴聚力壹号股权投资合伙企业(有限合伙),一般法人
嘉兴聚力肆号股权投资合伙企业(有限合伙),一般法人
嘉化集团-财通证券-19嘉EB01担保及信托财产专户,一般法人
浙江嘉化能源化工股份有限公司回购专用证券账户,一般法人
浙江嘉化集团股份有限公司,一般法人
红塔资管-广东华兴银行股份有限公司-红塔资产华兴鲲鹏3号单一资产管理计划,一般法人
上海有沃科技有限公司,一般法人
上证龙头企业交易型开放式指数证券投资基金,基金
东吴鼎元双债债券型证券投资基金A,基金
中国医药投资有限公司,一般法人
华夏沪港通上证50AH优选指数证券投资基金(LOF)A,基金
大成养老目标日期2040三年持有期混合型基金中基金(FOF)A,基金
奥本海默基金公司,QFII
江苏恒瑞医药集团有限公司,一般法人
西藏达远企业管理有限公司,一般法人
西部利得新富灵活配置混合型证券投资基金,基金
连云港市金融控股集团有限公司,一般法人
连云港恒创医药科技有限公司,一般法人
亿利资源集团有限公司,一般法人
嘉兴天朗投资合伙企业(有限合伙),一般法人
宁波梅山保税港区东峪投资合伙企业(有限合伙),一般法人
财通基金-宁波银行-万向信托-万向信托-亿利6号事务管理类单一资金信托,一般法人
金元顺安基金-兴业银行-万向信托-万向信托-亿利5号事务管理类单一资金信托,一般法人
金鹰基金-工商银行-万向信托-亿利3号事务管理类单一资金信托,一般法人
上海上实(集团)有限公司,一般法人
东方国际(集团)有限公司,一般法人
东方国际集团上海市家用纺织品进出口有限公司,一般法人
重庆市万州港口(集团)有限责任公司,一般法人
重庆港务物流集团有限公司,一般法人
江苏地华实业集团有限公司,一般法人
南京南钢钢铁联合有限公司,一般法人
南京钢铁联合有限公司,一般法人
南京钢铁股份有限公司-2015年度员工持股计划,一般法人
财通基金-广发证券-四川三新创业投资有限责任公司,一般法人
浙江省水利水电投资集团有限公司,一般法人
浙江省水电实业公司,一般法人
钱江硅谷控股有限责任公司,一般法人
上海张桥经济发展总公司,一般法人
上海浦东发展(集团)有限公司,一般法人
上海浦东投资经营有限公司,一般法人
同济创新创业控股有限公司,一般法人
信阳新锐投资发展有限公司,一般法人
招商康泰灵活配置混合型证券投资基金,基金
新县鑫源贸易有限公司,一般法人
民族-羚锐小羚羊资产管理计划,券商集合理财
河南羚锐制药股份有限公司回购专用证券账户,一般法人
河南羚锐集团有限公司,一般法人
中国外运江苏有限公司,一般法人
江苏舜天国际集团有限公司,一般法人
大成国际资产管理有限公司-大成财富管理三十号,一般法人
万家基金管理有限公司-兴业银行-南京钢铁联合有限公司,一般法人
上银基金-浦发银行-徐燎燃,一般法人
东吴基金-兴业银行-彭杏妮,一般法人
前海开源基金-恒丰银行-海通创新证券投资有限公司,一般法人
华仪集团有限公司,一般法人
深圳市华盛十五期股权投资企业(有限合伙),一般法人
上海德莱科技有限公司,一般法人
上海银炬实业发展有限公司,一般法人
上海陆家嘴(集团)有限公司,一般法人
乌海市城建投融资有限责任公司,一般法人
北京新天地互动多媒体技术有限公司,一般法人
北京绵世方达投资咨询有限责任公司,一般法人
正元投资有限公司,一般法人
深圳市德景新投资有限公司,一般法人
雪松国际信托股份有限公司,信托公司
当阳市国中安投资有限公司,一般法人
当阳市建设投资控股集团有限公司,一般法人
海南宗宣达实业投资有限公司,一般法人
深圳市前海佳浩投资合伙企业(有限合伙),一般法人
深圳市前海富荣资产管理有限公司,一般法人
深圳市华昊股权投资合伙企业(有限合伙),一般法人
深圳海之门休闲体育发展有限公司,一般法人
深圳蒙商基金管理有限公司,一般法人
南方上证380交易型开放式指数证券投资基金联接基金A,基金
Blue Chariot Investment Limited,一般法人
China Grand Automotive (Mauritius) Limited,一般法人
新疆友源股权投资合伙企业(有限合伙),一般法人
泰达宏利基金-招商银行-大业信托-大业信托·增利1号集合资金信托计划,一般法人
诺德基金-招商银行-华宝信托-华宝-广汇1号单一资金信托,一般法人
鹰潭市锦胜投资有限合伙企业,一般法人
湖北安琪生物集团有限公司,一般法人
湖北日升科技有限公司,一般法人
中国电子投资控股有限公司,一般法人
北京橡胶工业研究设计院有限公司,一般法人
江苏聚合创意新兴产业投资基金(有限合伙),一般法人
蓝星集团-国泰君安-19蓝星EB担保及信托财产专户,一般法人
长石投资有限公司,一般法人
大冢(中国)投资有限公司,一般法人
宁波博泓合丰投资合伙企业(有限合伙),一般法人
徐州市新盛投资控股集团有限公司,一般法人
维维集团股份有限公司,一般法人
中国标准工业集团有限公司,一般法人
北京盛唐恒泰国际投资管理有限公司,信托公司
华泰汽车集团有限公司,一般法人
深圳市中能绿色启航壹号投资企业(有限合伙),一般法人
辽宁曙光集团有限责任公司,一般法人
长信基金管理有限责任公司-辽宁曙光汽车集团股份有限公司,一般法人
江苏恒顺集团有限公司,一般法人
深圳市琪创能投资管理有限公司,一般法人
酒泉钢铁(集团)有限责任公司,一般法人
华泰集团有限公司,一般法人
信诚新选回报灵活配置混合型证券投资基金A,基金
广发可转债债券型发起式证券投资基金A,基金
广发稳裕混合型证券投资基金,基金
广发集泰债券型证券投资基金A,基金
广西正润发展集团有限公司,一般法人
广西贺州市广泽资本投资有限公司,一般法人
武威塑料包装有限公司,一般法人
武威荣华工贸集团有限公司,一般法人
华安基金-工商银行-国民信托-国民信托·平高电气定增单一资金信托,一般法人
平高集团有限公司,一般法人
中国农垦集团有限公司,一般法人
上海太富祥尔股权投资基金合伙企业(有限合伙),一般法人
上海家化(集团)有限公司,一般法人
江西洪都航空工业集团有限责任公司,一般法人
营口港务集团有限公司,一般法人
华泰家园3号集合资产管理计划,券商集合理财
安徽新力科创集团有限公司,一般法人
安徽新力金融股份有限公司回购专用证券账户,一般法人
北京光耀东方商业管理有限公司,一般法人
深圳中安汇银一号专项投资企业(有限合伙),一般法人
深圳中安汇银四号专项投资企业(有限合伙),一般法人
深圳中安鼎奇三号专项投资企业(有限合伙),一般法人
深圳中安鼎奇二号专项投资企业(有限合伙),一般法人
深圳长城汇理三号专项投资企业(有限合伙),信托公司
潍坊亚星集团有限公司,一般法人
中国交通建设集团有限公司,一般法人
上海理石投资管理有限公司,信托公司
天津房地产集团有限公司,一般法人
深圳市津房物业发展有限公司,一般法人
佛山市南海供水集团有限公司,一般法人
佛山市南海城市建设投资有限公司,一般法人
珠海华发综合发展有限公司,一般法人
珠海华发集团有限公司,一般法人
西藏天海集团有限责任公司,一般法人
西藏天路置业集团有限公司,一般法人
西藏自治区交通厅格尔木运输总公司,一般法人
上海针织漂染二厂,一般法人
江苏无锡商业大厦集团有限公司,一般法人
中盐吉兰泰盐化集团有限公司,一般法人
财通基金管理有限公司-至尊宝2号资产管理计划,一般法人
天通控股股份有限公司回购专用证券账户,一般法人
天通高新集团有限公司,一般法人
海宁市经济发展投资公司,一般法人
四川宏达实业有限公司,一般法人
四川川商发展控股集团有限公司,一般法人
四川濠吉食品(集团)有限责任公司,一般法人
成都科甲投资开发有限公司,一般法人
百步亭集团有限公司,一般法人
广州医药集团有限公司,一般法人
长春嘉信股权投资基金管理有限公司,信托公司
长春长港燃气有限公司,一般法人
中国电子财务有限责任公司,财务公司
天津津鼎企业管理服务有限责任公司,一般法人
广发乾和投资有限公司,一般法人
青岛市企业发展投资有限公司,一般法人
泰达宏利基金-民生银行-华鑫国际信托-华鑫信托·智选10号证券投资集合资金信托计划,一般法人
美克国际家居用品股份有限公司回购专用证券账户,一般法人
美克投资集团有限公司,一般法人
美克集团-中山证券-19美04EB担保及信托财产专户,一般法人
美克集团-中山证券-19美克E2担保及信托财产专户,一般法人
美克集团-中山证券-19美克EB01担保及信托财产专户,一般法人
香港博伊西家具有限公司,一般法人
上海歌石祥金投资合伙企业(有限合伙),一般法人
中国环球新技术进出口有限公司,一般法人
宁波合赏投资合伙企业(有限合伙),一般法人
新疆塔城国际资源有限公司,一般法人
西藏信托有限公司-西藏信托-鼎证48号集合资金信托计划,一般法人
九泰基金-广发银行-中兵投资管理有限责任公司,一般法人
弘湾资本管理有限公司,一般法人
新疆天利石化控股集团有限公司,一般法人
武汉长石鑫工贸有限公司,一般法人
华夏幸福基业控股股份公司,一般法人
华夏幸福基业控股股份公司-华夏幸福基业控股股份公司非公开发行2017年可交换公司债券(第一期)质押专户,一般法人
湖南成功控股集团有限公司,一般法人
西安航天动力技术研究所,一般法人
西安航天发动机有限公司,一般法人
陕西苍松机械有限公司,一般法人
武汉新能实业发展有限公司,一般法人
长江经济联合发展(集团)股份有限公司武汉公司,一般法人
德诚利国际集团有限公司,一般法人
恒力石化股份有限公司回购专用证券账户,一般法人
恒力集团有限公司,一般法人
江苏和高投资有限公司,一般法人
海来得国际投资有限公司,一般法人
霍尔果斯凯恩时代股权投资合伙企业(有限合伙),一般法人
阳泉煤业(集团)有限责任公司,一般法人
阳泉煤业集团多种经营总公司,一般法人
山东高速集团-中金公司-17山高EB担保及信托财产专户,一般法人
大同中药厂,一般法人
山西亚宝投资集团有限公司,一般法人
广东晋亚纾困股权投资合伙企业(有限合伙),一般法人
新余市合盛锦禾投资管理中心(有限合伙),一般法人
成都旭光电子股份有限公司-第一期员工持股计划,一般法人
成都旭光电子股份有限公司回购专用证券账户,一般法人
成都欣天颐投资有限责任公司,一般法人
新的集团有限公司,一般法人
北京中健祥投资管理有限公司,一般法人
精伦电子股份有限公司-第一期员工持股计划,一般法人
牡丹江恒丰纸业股份有限公司-第一期员工持股计划,一般法人
牡丹江恒丰纸业集团有限责任公司,一般法人
黑龙江省投资总公司,一般法人
黑龙江辰能投资管理有限责任公司,一般法人
上海大世界(集团)公司,一般法人
北京金汇丰盈投资中心(有限合伙),一般法人
华宝信托有限责任公司-天高资本16号单一资金信托,一般法人
华宝信托有限责任公司-天高资本17号单一资金信托,一般法人
南京江宁国有资产经营集团有限公司,一般法人
厦门当代旅游资源开发有限公司,一般法人
杭州之江发展总公司,一般法人
江西省旅游集团股份有限公司,一般法人
申港证券-舒钰强-申港证券创远1号单一资产管理计划,一般法人
阿拉尔统众国有资产经营有限责任公司,一般法人
上海鹏盛科技实业有限公司,一般法人
吉林市中小企业融资担保集团有限公司,一般法人
洋浦万利通科技有限公司,一般法人
海南亿雄商业投资管理有限公司,一般法人
江西电线电缆总厂,一般法人
江西省电子集团有限公司,一般法人
赣州昱坤投资管理合伙企业(有限合伙),信托公司
南京亿竞源通信科技有限公司,一般法人
吉祥嘉德投资有限公司,一般法人
吉祥大酒店有限公司,一般法人
宁波乾浩投资有限公司,一般法人
宁波韵升股份有限公司回购专用证券账户,一般法人
汇源(香港)有限公司,一般法人
韵升控股集团有限公司,一般法人
安顺市国有资产管理有限公司,一般法人
青岛红星化工集团有限责任公司,一般法人
广西交通投资集团有限公司,一般法人
广西国宏经济发展集团有限公司,一般法人
招商财富-招商银行-渝富4号专项资产管理计划,一般法人
重庆市水务资产经营有限公司,一般法人
重庆市江北嘴中央商务区投资集团有限公司,一般法人
重庆高速公路集团有限公司,一般法人
三房巷集团有限公司,一般法人
中航航空电子系统有限责任公司,一般法人
中文天地出版传媒集团股份有限公司回购专用证券账户,一般法人
厦门枫沐科技合伙企业(有限合伙),一般法人
江西省出版集团公司,一般法人
安徽星马汽车集团有限公司,一般法人
马鞍山华神建材工业有限公司,一般法人
马鞍山富华投资管理有限公司,一般法人
北京首开天鸿集团有限公司,一般法人
建信基金-工商银行-陕西国际信托-陕国投·汇祥11号定向投资集合资金信托计划,一般法人
苏州信托有限公司-苏信财富·富诚K1602单一资金信托,一般法人
中国太平洋人寿保险股份有限公司-中国太平洋人寿股票红利型产品(寿自营)委托投资,一般法人
中邮景泰灵活配置混合型证券投资基金A,基金
北京磐沣投资管理合伙企业(有限合伙),信托公司
华安安禧灵活配置混合型证券投资基金A,基金
华安稳健回报混合型证券投资基金,基金
富国鑫旺稳健养老目标一年持有期混合型基金中基金(FOF),基金
江苏交通控股有限公司,一般法人
红土创新稳健混合型证券投资基金A,基金
中国昊华化工集团股份有限公司,一般法人
深圳嘉年实业股份有限公司,一般法人
盈投控股有限公司,一般法人
中冀投资股份有限公司,一般法人
西藏锋泓投资管理有限公司,一般法人
陕西宝光集团有限公司,一般法人
陕西省技术进步投资有限责任公司,一般法人
鸿信行有限公司,一般法人
黑龙江百业源投资有限公司,一般法人
上海盛基创业投资有限公司,一般法人
中信建投证券股份有限公司行使超额配售选择权专用证券账户,一般法人
宁波平方和投资管理合伙企业(有限合伙),信托公司
西藏荣恩科技有限公司,一般法人
兴宁市众益福投资有限公司,一般法人
兴宁市和安顺商贸有限公司,一般法人
兴宁市新和金建筑工程有限公司,一般法人
兴宁市金顺安投资有限公司,一般法人
广东佳旺房地产有限公司,一般法人
深圳市慈益商贸有限公司,一般法人
深圳市金信安投资有限公司,一般法人
深圳市福田投资控股有限公司,一般法人
北京公共交通控股(集团)有限公司,一般法人
浙江海越科技有限公司,一般法人
浙江省经协集团有限公司,一般法人
上海南方全维科技发展有限公司,一般法人
华润深国投信托有限公司-华润信托·福润1号集合资金信托计划,一般法人
西藏阳光泓瑞工贸有限公司,一般法人
西藏阳光瑞泽实业有限公司,一般法人
龙净实业集团有限公司,一般法人
龙岩市国有资产投资经营有限公司,一般法人
龙岩市海润投资有限公司,一般法人
龙岩市电力建设发展公司,一般法人
四川省乐山市福华作物保护科技投资有限公司,一般法人
湖南聚富投资管理有限公司,一般法人
长沙矿冶研究院有限责任公司,一般法人
中国航发成都发动机有限公司,一般法人
中国地质科学院矿产综合利用研究所,一般法人
四川巨星企业集团有限公司,一般法人
四川省地质矿产公司,一般法人
山西煤炭运销集团有限公司,一般法人
赣州沃本新材料投资有限公司,一般法人
上海积胜投资管理有限公司,信托公司
广州粤泰控股集团有限公司,一般法人
中国建设银行股份有限公司贵州省分行,一般法人
四川川投峨眉铁合金(集团)有限责任公司,一般法人
太平洋资管-农业银行-卓越财富股息价值股票型产品,一般法人
贵州盘江投资控股(集团)有限公司,一般法人
江西省能源集团有限公司,一般法人
国星集团有限公司,一般法人
江阴市晟汇国际贸易有限公司,一般法人
江阴恒盛国际贸易有限公司,一般法人
深圳市腾讯普和有限合伙企业(有限合伙),一般法人
荣基国际(香港)有限公司,一般法人
华能贵诚信托有限公司-华能信托·嘉会1号集合资金信托计划,一般法人
江苏红豆实业股份有限公司-第三期员工持股计划,一般法人
江苏红豆实业股份有限公司回购专用证券账户,一般法人
红豆集团有限公司,一般法人
红豆集团有限公司-红豆集团有限公司2018年非公开发行可交换公司债券质押专户,一般法人
西藏信托有限公司-西藏信托-莱沃37号集合资金信托计划,一般法人
陕西省国际信托股份有限公司-陕国投·金玉32号证券投资集合资金信托计划,一般法人
上海富欣通信技术发展有限公司,一般法人
中广有线信息网络有限公司,一般法人
义马煤业集团股份有限公司,一般法人
义马煤业集团青海义海能源有限责任公司,一般法人
北京动力源科技股份有限公司回购专用证券账户,一般法人
华宝信托有限责任公司-“华宝丰进”35号单一资金信托,一般法人
华宝信托有限责任公司-“华宝丰进”69号单一资金信托,一般法人
南瑞集团有限公司,一般法人
泰达宏利基金-招商银行-泰达宏利国创投资1号定增资产管理计划,一般法人
唐山三友碱业(集团)有限公司,一般法人
唐山三友集团有限公司,一般法人
唐山投资有限公司,一般法人
建信基金-平安银行-渤海国际信托-渤海信托·汇义电子精选7号结构化证券投资集合资金信托计划,一般法人
建信基金-平安银行-渤海国际信托-渤海信托·汇义电子精选8号结构化证券投资集合资金信托计划,一般法人
西藏信托有限公司-西藏信托-莱沃34号集合资金信托计划,一般法人
西藏山南硅谷天堂昌吉投资管理有限公司-硅谷天堂溢鑫资产管理计划,一般法人
义乌市市场发展集团有限公司,一般法人
浙江省财务开发公司,一般法人
湘电集团有限公司,一般法人
合肥实勤股权投资合伙企业(普通合伙),一般法人
合肥市国有资产控股有限公司,一般法人
安徽江淮汽车集团控股有限公司,一般法人
申万菱信基金-招商银行-华润深国投信托-华润信托·博荟13号集合资金信托计划,一般法人
新疆生产建设兵团乳业集团有限责任公司,一般法人
新疆生产建设兵团第十二师国有资产经营(集团)有限责任公司,一般法人
上海医药工业研究院,一般法人
上海广慈医学高科技公司,一般法人
上海高东经济发展有限公司,一般法人
新疆生产建设兵团投资有限责任公司,一般法人
新疆阿拉尔水利水电工程有限公司,一般法人
山东华鲁恒升集团有限公司,一般法人
中国广州外轮代理有限公司,一般法人
前海开源基金-前海开源定增11号资产管理计划,一般法人
北京企业(食品)有限公司,一般法人
北京首农食品集团有限公司,一般法人
中国纸业投资有限公司,一般法人
广东冠豪高新技术股份有限公司回购专用证券账户,一般法人
广东粤财创业投资有限公司,一般法人
广东粤财实业发展有限公司,一般法人
广州润华置业有限公司,一般法人
北方导航科技集团有限公司,一般法人
深圳市林园投资管理有限责任公司,信托公司
漳州市九龙江集团有限公司,一般法人
上证主要消费交易型开放式指数发起式证券投资基金,基金
中国人寿资管-工商银行-国寿资产-凤凰系列专项产品(第2期),一般法人
北信瑞丰基金-工商银行-长城资本管理有限公司,一般法人
通威集团有限公司,一般法人
四川电子科技大学教育发展基金会,一般法人
河南瑞贝卡发制品股份有限公司-第一期员工持股计划,一般法人
河南瑞贝卡控股有限责任公司,一般法人
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣26号证券投资集合资金信托计划,一般法人
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣27号证券投资集合资金信托计划,一般法人
山东京博控股集团有限公司,一般法人
熊猫财务顾问管理有限公司,一般法人
西藏普瑞建筑工程有限公司,一般法人
深圳前海联礼阳投资有限责任公司,一般法人
中诚资本管理(北京)有限公司,信托公司
北京信弘天禾资产管理中心(有限合伙),信托公司
华信期货-厦门珑耀投资有限公司,一般法人
天津盛林投资合伙企业(有限合伙),一般法人
山东滨州印染集团有限责任公司,一般法人
汇达资产托管有限责任公司,一般法人
滨州市国有资产经营有限公司,一般法人
宁夏共赢投资有限责任公司,一般法人
国泰基金-陶宝-国泰基金-金滩科创1号单一资产管理计划,一般法人
无锡汇蠡投资管理中心(有限合伙),信托公司
重庆川东电力集团有限责任公司,一般法人
北京车天下资讯有限公司,一般法人
福州驰恒贸易有限公司,一般法人
西安经发集团有限责任公司,一般法人
中车南京浦镇实业管理有限公司,一般法人
中车大连机车车辆有限公司,一般法人
中车株洲电力机车研究所有限公司,一般法人
中车株洲车辆实业管理有限公司,一般法人
中车眉山实业管理有限公司,一般法人
中车资阳机车有限公司,一般法人
云南省贵金属新材料控股集团有限公司,一般法人
厦门半导体投资集团有限公司,一般法人
杭州士兰控股有限公司,一般法人
上海星河数码投资有限公司,一般法人
南昌市公共交通总公司,一般法人
南昌市政公用投资控股有限责任公司,一般法人
南昌市政投资集团有限公司,一般法人
南昌水业集团有限责任公司,一般法人
国泰君安君享新发2号集合资产管理计划,一般法人
北京临空兴融投资有限公司,一般法人
北京华大基因研究中心有限公司,一般法人
北京天竺空港经济开发公司,一般法人
北京顺鑫智远资本管理有限公司,一般法人
蓝光投资控股集团有限公司,一般法人
好当家集团有限公司,一般法人
天弘基金-定增116号资产管理计划,一般法人
天津市鑫皓投资发展有限公司,一般法人
天津液压机械(集团)有限公司,一般法人
天津百利特精电气股份有限公司回购专用证券账户,一般法人
深圳前海一线红投资管理有限公司,信托公司
中国化工橡胶有限公司,一般法人
厦门海翼国际贸易有限公司,一般法人
河南轮胎集团有限责任公司,一般法人
焦作市国有发展投资有限公司,一般法人
风神轮胎股份有限公司-首期员工持股计划,一般法人
