股票代码,pid,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
000498,59805,167.88万,0.15%,流通A股,10,2019-12-09
000498,59806,249.99万,0.22%,流通A股,5,2019-12-09
000498,59807,227.07万,0.20%,流通A股,6,2019-12-09
000501,59808,1335.74万,1.74%,流通A股,7,2019-09-30
000502,69894,121.10万,0.66%,流通A股,10,2019-09-30
000502,59810,862.78万,4.71%,流通A股,4,2019-09-30
000502,59811,275.05万,1.50%,流通A股,5,2019-09-30
000502,59812,220.32万,1.20%,流通A股,6,2019-09-30
000502,59813,181.63万,0.99%,流通A股,7,2019-09-30
000502,59814,138.00万,0.75%,流通A股,8,2019-09-30
000502,59809,136.16万,0.74%,流通A股,9,2019-09-30
000503,59815,289.00万,0.32%,流通A股,10,2019-09-30
000503,59816,442.25万,0.49%,流通A股,5,2019-09-30
000503,59817,357.58万,0.40%,流通A股,6,2019-09-30
000503,59818,334.13万,0.37%,流通A股,7,2019-09-30
000503,59819,327.69万,0.36%,流通A股,8,2019-09-30
000503,59820,327.54万,0.36%,流通A股,9,2019-09-30
000504,69895,199.25万,0.64%,流通A股,10,2019-09-30
000504,69896,337.88万,1.09%,流通A股,4,2019-09-30
000504,69897,304.70万,0.98%,流通A股,5,2019-09-30
000504,69898,250.00万,0.80%,流通A股,8,2019-09-30
000504,69899,204.90万,0.66%,流通A股,9,2019-09-30
000505,69900,165.27万,0.35%,流通A股,10,2019-09-30
000505,59822,260.42万,0.55%,流通A股,5,2019-09-30
000505,59823,235.61万,0.50%,流通A股,6,2019-09-30
000505,59824,194.93万,0.41%,流通B股,7,2019-09-30
000505,59825,174.27万,0.37%,流通A股,8,2019-09-30
000505,59821,166.96万,0.35%,流通A股,9,2019-09-30
000506,59826,248.21万,0.27%,流通A股,10,2019-09-30
000506,59827,2846.34万,3.06%,流通A股,4,2019-09-30
000506,59828,563.73万,0.61%,流通A股,6,2019-09-30
000506,59829,257.95万,0.28%,流通A股,9,2019-09-30
000507,69901,165.00万,0.21%,流通A股,10,2019-09-30
000507,59830,1529.92万,1.98%,流通A股,2,2019-09-30
000507,59831,720.00万,0.93%,流通A股,3,2019-09-30
000507,59832,465.82万,0.60%,流通A股,4,2019-09-30
000507,59833,373.02万,0.48%,流通A股,5,2019-09-30
000507,69902,251.57万,0.33%,流通A股,7,2019-09-30
000507,69903,236.05万,0.31%,流通A股,8,2019-09-30
000507,69904,228.00万,0.30%,流通A股,9,2019-09-30
000509,59834,280.84万,0.34%,流通A股,10,2019-09-30
000509,59835,558.44万,0.68%,流通A股,4,2019-09-30
000509,59836,542.00万,0.66%,流通A股,5,2019-09-30
000509,59837,450.34万,0.55%,流通A股,6,2019-09-30
000509,59838,416.70万,0.50%,流通A股,7,2019-09-30
000509,59839,316.97万,0.38%,流通A股,9,2019-09-30
000510,59840,275.00万,0.50%,流通A股,10,2019-09-30
000510,18407,1988.21万,3.62%,流通A股,3,2019-09-30
000510,59841,444.13万,0.81%,流通A股,7,2019-09-30
